winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,26.688272727272714,220.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,25.278348623853216,109.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,25.189781021897815,137.0
Illinois,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,24.615294117647057,17.0
Baylor,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,23.26666666666667,30.0
Houston,Iowa,Houston,Houston,Michigan,Baylor,Iowa,22.311666666666667,12.0
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,22.262222222222228,36.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,21.36192307692308,52.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,21.024499999999993,80.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,20.495435684647298,241.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,20.40285714285715,63.0
Baylor,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,20.249999999999996,32.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,20.232753623188405,69.0
Baylor,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,19.716363636363635,11.0
Baylor,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,19.08511627906977,43.0
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,18.79435897435897,39.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,18.660000000000007,114.0
Baylor,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,18.55152941176471,85.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,18.434444444444445,72.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,18.015526315789476,76.0
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,17.91305555555556,72.0
Illinois,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,17.721578947368425,38.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,17.54526315789473,38.0
