winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Illinois,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,41.95294117647059,17.0
Houston,Iowa,Houston,Houston,Michigan,Baylor,Iowa,36.7,12.0
Houston,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,34.30909090909091,22.0
Illinois,Iowa,Illinois,Illinois,Florida State,Baylor,Iowa,32.94285714285714,14.0
Houston,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,32.89411764705882,34.0
Baylor,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,32.81454545454545,55.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,30.869999999999997,20.0
Houston,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,30.748837209302327,43.0
Houston,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,30.573333333333334,15.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,29.863492063492057,63.0
Baylor,Iowa,Baylor,Illinois,Florida State,Baylor,Iowa,27.613333333333337,15.0
Baylor,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,27.04615384615385,13.0
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,26.93333333333333,36.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,26.846666666666668,60.0
Baylor,Florida State,Baylor,Illinois,Florida State,Baylor,Gonzaga,26.62608695652174,23.0
Houston,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,26.271428571428572,14.0
Baylor,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,26.116666666666667,36.0
Baylor,Iowa,Baylor,Illinois,Texas,Baylor,Iowa,26.08888888888889,18.0
Iowa,Iowa,Houston,Houston,Michigan,Baylor,Iowa,25.385714285714283,14.0
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,24.558974358974353,39.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Kansas,24.553846153846152,13.0
Baylor,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,24.542857142857144,14.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,24.071428571428573,14.0
Houston,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,23.89999999999999,32.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,22.262068965517237,29.0
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,21.70833333333333,72.0
Ohio State,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,21.157142857142855,14.0
Gonzaga,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,21.01176470588235,17.0
Iowa,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,20.883999999999997,50.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Purdue,Gonzaga,20.733333333333334,15.0
Illinois,Iowa,Illinois,Illinois,Texas,Ohio State,Iowa,20.317647058823532,17.0
Iowa,Iowa,Baylor,Houston,Alabama,Baylor,Iowa,20.254545454545454,11.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Iowa,20.153846153846153,13.0
Baylor,Iowa,Baylor,Houston,Texas,Baylor,Iowa,19.550000000000004,12.0
Baylor,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,19.545454545454543,11.0
Houston,Alabama,Houston,Houston,Alabama,Ohio State,Gonzaga,19.466666666666665,12.0
Houston,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,19.27272727272727,22.0
Illinois,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,19.208695652173912,23.0
Gonzaga,Gonzaga,Texas Tech,Illinois,Alabama,Texas Tech,Gonzaga,19.159999999999993,15.0
Baylor,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,18.989189189189194,37.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,18.549999999999994,52.0
Illinois,Virginia,Illinois,Illinois,Alabama,Baylor,Virginia,18.523076923076925,13.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,18.519298245614035,114.0
Illinois,Virginia,Illinois,Illinois,Michigan,Ohio State,Virginia,18.363636363636363,11.0
Gonzaga,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,18.058823529411768,17.0
Baylor,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,17.885714285714283,28.0
Illinois,Alabama,Illinois,Illinois,Alabama,Purdue,Gonzaga,17.69090909090909,11.0
Baylor,Texas,Baylor,Illinois,Texas,Baylor,Gonzaga,17.507692307692306,26.0
Iowa,Iowa,Ohio State,Illinois,Alabama,Ohio State,Iowa,17.415384615384617,13.0
Iowa,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,17.118750000000002,32.0
Illinois,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,16.9,38.0
Gonzaga,Gonzaga,Purdue,Illinois,Michigan,Purdue,Gonzaga,16.85,24.0
Iowa,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,16.309999999999995,20.0
Baylor,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,16.119999999999997,30.0
Alabama,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,16.037037037037035,27.0
Ohio State,Alabama,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,15.733333333333333,21.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,15.130434782608699,69.0
Illinois,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,15.054545454545456,22.0
Baylor,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,14.893023255813947,43.0
Baylor,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,14.829411764705881,68.0
Gonzaga,Gonzaga,Arkansas,Illinois,Alabama,Arkansas,Gonzaga,14.623529411764707,17.0
Iowa,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,14.44848484848485,33.0
Florida State,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,14.414285714285713,14.0
Baylor,Alabama,Baylor,West Virginia,Alabama,Baylor,Gonzaga,14.114285714285716,14.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Arkansas,Gonzaga,14.033333333333333,12.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Iowa,13.738461538461536,13.0
Gonzaga,Gonzaga,Houston,Houston,Florida State,Ohio State,Gonzaga,13.72307692307692,13.0
Baylor,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,13.700000000000001,12.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Texas Tech,Gonzaga,13.646153846153844,13.0
Illinois,Kansas,Illinois,Illinois,Alabama,Baylor,Kansas,13.557142857142855,14.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Arkansas,Gonzaga,13.545454545454545,11.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,13.527777777777775,72.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,13.453211009174314,109.0
Gonzaga,Gonzaga,Purdue,Illinois,Alabama,Purdue,Gonzaga,13.415384615384616,13.0
Baylor,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,13.29230769230769,13.0
Baylor,Kansas,Baylor,Illinois,Michigan,Baylor,Kansas,13.147826086956524,23.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,13.12258064516129,31.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,13.023636363636365,110.0
Illinois,Iowa,Illinois,Illinois,Florida State,Ohio State,Iowa,12.890909090909092,11.0
Iowa,Iowa,Houston,Houston,Michigan,Ohio State,Iowa,12.835294117647061,17.0
Illinois,Kansas,Illinois,Illinois,Michigan,Baylor,Kansas,12.831578947368422,19.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,12.70769230769231,39.0
Iowa,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,12.626086956521736,23.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,12.446666666666665,30.0
Gonzaga,Gonzaga,Arkansas,Illinois,Michigan,Arkansas,Gonzaga,12.37142857142857,28.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Texas Tech,Gonzaga,12.033333333333331,18.0
Illinois,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,11.91666666666667,36.0
Iowa,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,11.760869565217389,46.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Kansas,11.621428571428568,28.0
Illinois,Kansas,Illinois,Illinois,Florida State,Baylor,Kansas,11.30909090909091,11.0
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,11.066363636363638,220.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Baylor,Gonzaga,10.940000000000001,20.0
Baylor,Kansas,Baylor,Illinois,Texas,Baylor,Kansas,10.86153846153846,13.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Ohio State,Gonzaga,10.85142857142857,35.0
Gonzaga,Gonzaga,Arkansas,Houston,Michigan,Arkansas,Gonzaga,10.633333333333333,12.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,10.515789473684208,38.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,10.452631578947365,76.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,10.355,40.0
Virginia,Virginia,Illinois,Illinois,Alabama,Baylor,Virginia,10.266666666666666,12.0
Ohio State,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,10.085714285714287,28.0
Gonzaga,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,10.081250000000002,32.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,10.03941605839416,137.0
Iowa,Iowa,Baylor,Illinois,Florida State,Baylor,Iowa,9.973333333333333,15.0
Gonzaga,Gonzaga,Loyola (IL),Loyola (IL),Michigan,Baylor,Gonzaga,9.763636363636362,11.0
Gonzaga,Gonzaga,Tennessee,Tennessee,Michigan,Ohio State,Gonzaga,9.68,15.0
Illinois,Texas,Illinois,Illinois,Texas,Ohio State,Gonzaga,9.671999999999999,25.0
Illinois,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,9.589999999999996,20.0
Iowa,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,9.587096774193549,31.0
Baylor,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,9.581176470588234,85.0
Baylor,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,9.356250000000003,32.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Texas Tech,Gonzaga,9.353846153846153,13.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,9.287500000000003,48.0
Ohio State,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,9.26086956521739,23.0
Illinois,Iowa,Illinois,Illinois,Michigan,Purdue,Iowa,9.23076923076923,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,9.135294117647058,34.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,9.129999999999999,80.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,8.858461538461542,130.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,8.799999999999999,14.0
Illinois,Michigan,Illinois,Illinois,Michigan,Purdue,Gonzaga,8.786666666666667,15.0
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,8.542857142857143,14.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,8.492307692307692,13.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Villanova,Gonzaga,8.257142857142854,14.0
Gonzaga,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,8.223333333333336,120.0
Alabama,Alabama,Illinois,Illinois,Alabama,Ohio State,Iowa,8.17333333333333,15.0
Illinois,Gonzaga,Illinois,Illinois,Connecticut,Baylor,Gonzaga,8.146666666666665,15.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Arkansas,Gonzaga,8.127272727272727,11.0
Iowa,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,8.036363636363635,33.0
Baylor,Kansas,Baylor,Illinois,Alabama,Baylor,Kansas,7.969999999999999,20.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,7.748387096774194,31.0
Ohio State,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,7.713513513513514,37.0
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,7.6318181818181845,44.0
Illinois,Kansas,Illinois,Illinois,Michigan,Ohio State,Kansas,7.6315789473684195,19.0
Gonzaga,Gonzaga,Tennessee,Tennessee,Michigan,Baylor,Gonzaga,7.5428571428571445,21.0
Baylor,Texas,Baylor,Houston,Texas,Baylor,Gonzaga,7.057142857142858,14.0
Virginia,Virginia,Illinois,Illinois,Michigan,Baylor,Virginia,7.023529411764705,17.0
Illinois,Michigan,Illinois,Illinois,Michigan,Arkansas,Gonzaga,6.933333333333334,18.0
Alabama,Alabama,Baylor,Houston,Alabama,Baylor,Gonzaga,6.686956521739131,23.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,6.618852459016387,244.0
Gonzaga,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,6.579245283018868,106.0
Alabama,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,6.470270270270271,37.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Wisconsin,Gonzaga,6.384615384615386,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,6.3625,16.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,6.250000000000001,48.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,6.2240663900414965,241.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,6.021428571428572,28.0
Baylor,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,5.875000000000001,16.0
Gonzaga,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,5.82608695652174,23.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,5.767567567567569,37.0
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,5.764705882352943,68.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Florida State,Baylor,Gonzaga,5.6000000000000005,16.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,5.571779141104295,163.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,5.5625,16.0
Illinois,Iowa,Illinois,Illinois,Michigan,Arkansas,Iowa,5.485714285714285,14.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Baylor,Gonzaga,5.406666666666667,30.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,5.405882352941175,68.0
Baylor,Gonzaga,Baylor,San Diego State,Michigan,Baylor,Gonzaga,5.381818181818183,11.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,5.316455696202533,79.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,5.272727272727272,143.0
Illinois,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,5.03529411764706,17.0
Gonzaga,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,5.033333333333334,36.0
Illinois,Gonzaga,Illinois,Illinois,Louisiana State,Ohio State,Gonzaga,4.8500000000000005,12.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Texas Tech,Gonzaga,4.246153846153846,13.0
Gonzaga,Gonzaga,Ohio State,Houston,Texas,Ohio State,Gonzaga,4.107692307692308,26.0
Florida State,Florida State,Baylor,Illinois,Florida State,Baylor,Gonzaga,4.034782608695652,23.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,3.8735849056603775,106.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Arkansas,Gonzaga,3.8444444444444446,18.0
Gonzaga,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,3.8148148148148144,54.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,3.8,22.0
Alabama,Alabama,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,3.7545454545454544,22.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Purdue,Gonzaga,3.7166666666666672,12.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,3.7058823529411757,17.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Iowa,3.666666666666666,15.0
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,3.568421052631578,171.0
Baylor,Gonzaga,Baylor,Oklahoma State,Florida State,Baylor,Gonzaga,3.4285714285714293,14.0
Iowa,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,3.347826086956521,23.0
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,3.210434782608695,115.0
Gonzaga,Gonzaga,Baylor,Tennessee,Florida State,Baylor,Gonzaga,3.1818181818181817,11.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,3.1615384615384614,78.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,3.1266666666666665,30.0
Gonzaga,Gonzaga,Baylor,Illinois,Louisiana State,Baylor,Gonzaga,3.0642857142857145,28.0
Gonzaga,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,3.0507462686567157,67.0
Baylor,Gonzaga,Baylor,Illinois,Connecticut,Baylor,Gonzaga,3.0,17.0
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,2.994909090909092,275.0
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,2.980769230769231,52.0
Baylor,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,2.925,16.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,2.6578947368421053,76.0
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,2.653886010362695,193.0
Iowa,Iowa,Baylor,West Virginia,Michigan,Baylor,Iowa,2.5833333333333335,12.0
Florida State,Florida State,Baylor,Illinois,Florida State,Baylor,Iowa,2.5666666666666673,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,2.381021897810221,274.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,2.342857142857143,112.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,2.193103448275862,29.0
Ohio State,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,2.076923076923076,26.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Texas Tech,Gonzaga,1.9999999999999998,15.0
Ohio State,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,1.8537313432835822,67.0
Gonzaga,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,1.8482758620689648,58.0
Gonzaga,Gonzaga,Ohio State,Houston,Florida State,Ohio State,Gonzaga,1.757142857142857,14.0
Baylor,Michigan,Baylor,Tennessee,Michigan,Baylor,Gonzaga,1.738461538461539,13.0
Gonzaga,Gonzaga,Ohio State,Tennessee,Michigan,Ohio State,Gonzaga,1.504761904761904,21.0
Ohio State,Michigan,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,1.4974358974358977,39.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Villanova,Gonzaga,1.4285714285714286,14.0
Gonzaga,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,1.322222222222222,36.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,0.9544303797468355,79.0
Alabama,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,0.9157894736842106,19.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,0.6855345911949685,159.0
Ohio State,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,0.6615384615384614,13.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Arkansas,Gonzaga,0.6249999999999996,24.0
Ohio State,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,0.5416666666666662,24.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,North Carolina,Gonzaga,0.5142857142857139,14.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,0.4904761904761902,42.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Alabama,Ohio State,Gonzaga,0.43478260869565155,23.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Villanova,Gonzaga,0.3833333333333339,12.0
Ohio State,Michigan,Ohio State,Houston,Michigan,Ohio State,Gonzaga,0.3529411764705883,17.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Villanova,Gonzaga,0.27096774193548334,31.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Gonzaga,0.18048780487804889,41.0
Baylor,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,0.10000000000000091,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,0.08466819221967975,437.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,0.07741935483870957,124.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Iowa,0.042857142857142705,14.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,-2.220446049250313e-16,24.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Ohio State,Gonzaga,-0.016666666666667496,12.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,-0.07619047619047559,21.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,-0.21111111111111105,18.0
Texas,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,-0.22962962962963007,27.0
