winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Illinois,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,27.863636363636363,11.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,25.894736842105264,19.0
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,24.173076923076923,26.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,22.20486111111111,72.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Ohio State,Gonzaga,21.95,15.0
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,21.041666666666668,18.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,20.512931034482758,58.0
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,20.28125,16.0
Baylor,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,19.5,18.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,18.870967741935484,31.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,18.453488372093023,43.0
Baylor,Texas,Baylor,Illinois,Texas,Baylor,Gonzaga,18.386363636363637,11.0
Baylor,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,18.354166666666668,12.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,18.319444444444443,18.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,18.294117647058822,17.0
Gonzaga,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,18.057692307692307,26.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,17.75,51.0
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,17.681818181818183,22.0
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,17.34259259259259,81.0
Baylor,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,17.321428571428573,42.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,17.171296296296298,108.0
Baylor,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,17.07894736842105,19.0
Baylor,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,17.06451612903226,31.0
Gonzaga,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,16.50943396226415,53.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,16.38939393939394,165.0
Gonzaga,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,16.136363636363637,11.0
Baylor,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,16.083333333333332,12.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,15.866666666666667,15.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,15.799180327868852,61.0
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,15.683168316831683,101.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,15.504901960784315,51.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,15.32,25.0
Gonzaga,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,15.295454545454545,11.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Iowa,15.088235294117647,17.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,15.046875,32.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,14.694444444444445,18.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,14.462121212121213,66.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,14.046296296296296,27.0
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,14.017948717948718,195.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,13.685344827586206,58.0
Baylor,Michigan,Baylor,Houston,Michigan,Baylor,Gonzaga,13.583333333333334,15.0
Illinois,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,13.291666666666666,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,12.504464285714286,56.0
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,12.43661971830986,71.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,12.352459016393443,61.0
Baylor,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,12.161764705882353,17.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Purdue,Gonzaga,12.104166666666666,12.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,11.988095238095237,42.0
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,11.711538461538462,13.0
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,11.617857142857142,70.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,11.483870967741936,31.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,11.34375,16.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,11.325,30.0
Iowa,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,11.3,15.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,11.081896551724139,116.0
Baylor,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,11.0625,16.0
Illinois,Florida State,Illinois,Illinois,Florida State,Baylor,Gonzaga,9.8125,12.0
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,9.522222222222222,45.0
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,9.279661016949152,59.0
Gonzaga,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,8.791666666666666,24.0
Iowa,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,8.776315789473685,19.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,8.666666666666666,27.0
Gonzaga,Gonzaga,Ohio State,Illinois,Alabama,Ohio State,Gonzaga,8.383333333333333,45.0
Iowa,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,7.894736842105263,19.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,7.282786885245901,61.0
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,7.177083333333333,24.0
Iowa,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,6.861111111111111,18.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Iowa,6.7894736842105265,19.0
Baylor,Gonzaga,Baylor,West Virginia,Alabama,Baylor,Gonzaga,6.783333333333333,15.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Villanova,Gonzaga,6.78125,16.0
Iowa,Iowa,Illinois,Illinois,Texas,Baylor,Iowa,6.6923076923076925,13.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,6.5,15.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,6.071428571428571,28.0
Gonzaga,Gonzaga,Baylor,West Virginia,Texas,Baylor,Gonzaga,5.966666666666667,15.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Purdue,Gonzaga,5.931818181818182,11.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,5.431818181818182,11.0
Gonzaga,Gonzaga,Ohio State,Illinois,Texas,Ohio State,Gonzaga,5.261363636363637,22.0
Houston,Gonzaga,Houston,Houston,Texas,Baylor,Gonzaga,4.916666666666667,15.0
Houston,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,4.875,16.0
Gonzaga,Gonzaga,Baylor,Tennessee,Alabama,Baylor,Gonzaga,4.645833333333333,12.0
Gonzaga,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,3.75,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,3.75,40.0
Ohio State,Iowa,Ohio State,Illinois,Michigan,Ohio State,Iowa,3.3333333333333335,12.0
Gonzaga,Gonzaga,Ohio State,Illinois,Florida State,Ohio State,Gonzaga,3.28125,16.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,3.1041666666666665,12.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,2.847826086956522,46.0
Gonzaga,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,2.4744897959183674,49.0
Houston,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,2.453125,16.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,2.2023809523809526,21.0
