winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,18.107678571428572,28.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,16.80909090909091,44.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,16.105499999999996,13.0
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,15.859414473684206,38.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,15.79916666666667,12.0
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,15.7052375,20.0
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,15.218516666666671,60.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,14.677291666666664,12.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,13.291402777777781,18.0
Gonzaga,Gonzaga,Ohio State,Illinois,Michigan,Ohio State,Gonzaga,12.808666666666666,18.0
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,12.675846153846154,26.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,12.484892857142855,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,12.328749999999998,11.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,12.210303571428572,14.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,12.087133333333334,15.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,10.650161764705881,34.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,10.587203125,16.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,10.163590909090908,11.0
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,10.152097826086958,23.0
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,9.332232142857142,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,9.030589285714285,14.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Gonzaga,5.931115384615383,13.0
Gonzaga,Gonzaga,Baylor,Oklahoma State,Michigan,Baylor,Gonzaga,1.6259166666666671,12.0
Michigan,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,-4.23,15.0
Michigan,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,-5.7428125,12.0
