winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,19.41560640732265,437.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,18.03905737704918,244.0
Gonzaga,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,17.94690944881891,508.0
Gonzaga,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,17.685041666666663,120.0
Gonzaga,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,17.445254545454546,275.0
Gonzaga,Gonzaga,Baylor,Houston,Michigan,Baylor,Gonzaga,17.3079274611399,193.0
Illinois,Iowa,Illinois,Illinois,Michigan,Baylor,Iowa,16.024375,72.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,15.696958041958041,143.0
Illinois,Iowa,Illinois,Illinois,Alabama,Baylor,Iowa,15.6751282051282,39.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Iowa,15.425357142857143,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,15.32310218978103,274.0
Illinois,Iowa,Illinois,Illinois,Alabama,Ohio State,Iowa,15.045227272727272,22.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Ohio State,Gonzaga,14.698249999999996,80.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,14.663589211618254,241.0
Illinois,Michigan,Illinois,Illinois,Michigan,Ohio State,Iowa,14.522258064516128,31.0
Baylor,Iowa,Baylor,Illinois,Alabama,Baylor,Iowa,14.369166666666665,36.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Baylor,Gonzaga,14.210043859649124,114.0
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,14.053152709359598,203.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Baylor,Gonzaga,13.979927007299267,137.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Baylor,Gonzaga,13.625486111111112,72.0
Illinois,Gonzaga,Illinois,Illinois,Alabama,Texas Tech,Gonzaga,13.588461538461539,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,13.565157232704397,159.0
Gonzaga,Gonzaga,Houston,Houston,Alabama,Ohio State,Gonzaga,13.188173076923078,52.0
Illinois,Gonzaga,Illinois,Illinois,Brigham Young,Baylor,Gonzaga,13.115294117647059,17.0
Illinois,Iowa,Illinois,Illinois,Michigan,Ohio State,Iowa,13.044999999999998,38.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Gonzaga,12.989047619047621,63.0
Baylor,Gonzaga,Baylor,Houston,Alabama,Baylor,Gonzaga,12.938194444444443,36.0
Baylor,Iowa,Baylor,Illinois,Michigan,Baylor,Iowa,12.935454545454546,55.0
Gonzaga,Gonzaga,Houston,Houston,Michigan,Ohio State,Gonzaga,12.810434782608692,69.0
Illinois,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,12.783235294117647,17.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Baylor,Gonzaga,12.5672641509434,106.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Gonzaga,12.562931034482757,29.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Ohio State,Gonzaga,12.425674846625764,163.0
Illinois,Alabama,Illinois,Illinois,Alabama,Baylor,Gonzaga,12.188916666666664,60.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Texas Tech,Gonzaga,12.173235294117648,34.0
Gonzaga,Gonzaga,Baylor,Houston,Texas,Baylor,Gonzaga,12.09896551724138,58.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Ohio State,Gonzaga,12.093333333333334,12.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,11.924276315789475,76.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Gonzaga,11.91815384615385,130.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,11.794276315789476,76.0
Illinois,Iowa,Illinois,Illinois,Michigan,Purdue,Iowa,11.718846153846155,13.0
Gonzaga,Gonzaga,Illinois,Illinois,Florida State,Baylor,Gonzaga,11.710401785714282,112.0
Illinois,Alabama,Illinois,Illinois,Alabama,Ohio State,Iowa,11.671153846153844,13.0
Baylor,Iowa,Baylor,Houston,Michigan,Baylor,Iowa,11.593846153846156,13.0
Illinois,Gonzaga,Illinois,Illinois,Florida State,Ohio State,Gonzaga,11.559342105263157,38.0
Gonzaga,Gonzaga,Baylor,Illinois,Florida State,Baylor,Gonzaga,11.529086956521734,115.0
Gonzaga,Gonzaga,Illinois,Illinois,Colorado,Baylor,Gonzaga,11.499411764705885,17.0
Baylor,Gonzaga,Baylor,Illinois,Michigan,Baylor,Gonzaga,11.424590909090913,220.0
Baylor,Gonzaga,Baylor,San Diego State,Michigan,Baylor,Gonzaga,11.356818181818182,11.0
Baylor,Iowa,Baylor,Illinois,Florida State,Baylor,Iowa,11.307,15.0
Illinois,Iowa,Illinois,Illinois,Florida State,Ohio State,Iowa,11.282727272727271,11.0
Gonzaga,Gonzaga,Houston,Houston,Texas,Ohio State,Gonzaga,11.253000000000002,35.0
Illinois,Iowa,Illinois,Illinois,Michigan,Arkansas,Iowa,11.223928571428573,14.0
Baylor,Gonzaga,Baylor,Illinois,Alabama,Baylor,Gonzaga,11.10550458715596,109.0
Gonzaga,Gonzaga,Baylor,Illinois,Maryland,Baylor,Gonzaga,11.086666666666668,12.0
Baylor,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,11.04267857142857,28.0
Gonzaga,Gonzaga,Baylor,Illinois,Colorado,Baylor,Gonzaga,11.03235294117647,17.0
Baylor,Michigan,Baylor,Illinois,Michigan,Baylor,Gonzaga,10.9855,110.0
Gonzaga,Gonzaga,Houston,Houston,Florida State,Baylor,Gonzaga,10.927656250000002,32.0
Baylor,Iowa,Baylor,Houston,Texas,Baylor,Iowa,10.907499999999999,12.0
Illinois,Alabama,Illinois,Illinois,Alabama,Purdue,Gonzaga,10.698636363636366,11.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,10.679879032258064,124.0
Baylor,Alabama,Baylor,Illinois,Alabama,Baylor,Iowa,10.621874999999998,16.0
Gonzaga,Gonzaga,Baylor,Houston,Florida State,Baylor,Gonzaga,10.553365384615384,52.0
Illinois,Iowa,Illinois,Illinois,Texas,Ohio State,Iowa,10.494705882352942,17.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,10.450897435897442,78.0
Illinois,Gonzaga,Illinois,Illinois,Connecticut,Baylor,Gonzaga,10.447666666666668,15.0
Gonzaga,Gonzaga,Ohio State,Houston,Michigan,Ohio State,Gonzaga,10.209779411764705,68.0
Gonzaga,Gonzaga,Ohio State,Houston,Alabama,Ohio State,Gonzaga,10.159204545454545,44.0
