winner,f1,f2,EV,n
Houston,Iowa,Houston,-15.510227272727263,88.0
Gonzaga,Gonzaga,Wisconsin,-15.523000000000001,40.0
Houston,Alabama,Houston,-15.641481481481488,54.0
Baylor,Virginia,Baylor,-15.885217391304353,69.0
Houston,Gonzaga,Houston,-15.896226415094336,265.0
Baylor,Iowa,Baylor,-15.914154929577467,284.0
Houston,Michigan,Houston,-16.07227272727273,88.0
Illinois,Alabama,Illinois,-16.09984555984557,259.0
Baylor,Alabama,Baylor,-16.120648148148153,216.0
Baylor,Florida State,Baylor,-16.192972972972974,74.0
Illinois,Florida State,Illinois,-16.365499999999997,80.0
Iowa,Iowa,Houston,-16.38630434782608,92.0
Illinois,Iowa,Illinois,-16.46630769230769,390.0
Illinois,Virginia,Illinois,-16.82962264150944,106.0
Gonzaga,Gonzaga,Houston,-16.84181818181818,737.0
Wisconsin,Gonzaga,Wisconsin,-16.84258064516129,31.0
Baylor,Creighton,Baylor,-16.8472,25.0
Alabama,Alabama,Houston,-16.927692307692304,52.0
Iowa,Iowa,Ohio State,-16.969120000000004,125.0
Baylor,Southern California,Baylor,-16.979200000000006,25.0
Gonzaga,Gonzaga,Texas Tech,-16.986315789473693,114.0
Florida State,Florida State,Houston,-17.03764705882353,17.0
Texas Tech,Michigan,Texas Tech,-17.07625,16.0
Iowa,Iowa,Illinois,-17.100000000000023,300.0
Gonzaga,Gonzaga,Purdue,-17.108378378378383,148.0
Texas Tech,Gonzaga,Texas Tech,-17.118787878787877,33.0
Baylor,Gonzaga,Baylor,-17.16766071428572,1120.0
Illinois,Southern California,Illinois,-17.189999999999994,22.0
Illinois,Kansas,Illinois,-17.21019607843138,153.0
Gonzaga,Gonzaga,San Diego State,-17.27411764705882,51.0
Houston,Texas,Houston,-17.280800000000003,25.0
Iowa,Iowa,Baylor,-17.370825082508258,303.0
Ohio State,Iowa,Ohio State,-17.3743396226415,106.0
Baylor,Michigan,Baylor,-17.37871921182265,406.0
Purdue,Gonzaga,Purdue,-17.44583333333333,48.0
Illinois,Gonzaga,Illinois,-17.455757180156645,1532.0
Iowa,Iowa,Purdue,-17.473043478260866,23.0
Ohio State,Alabama,Ohio State,-17.473714285714284,70.0
Illinois,Creighton,Illinois,-17.50785714285714,28.0
Illinois,Texas,Illinois,-17.515568862275444,167.0
Creighton,Creighton,Illinois,-17.54434782608696,23.0
Gonzaga,Gonzaga,Arkansas,-17.54760233918128,171.0
Baylor,Texas,Baylor,-17.55619834710744,121.0
Virginia,Virginia,Houston,-17.593076923076925,26.0
Illinois,Michigan,Illinois,-17.61631284916202,537.0
Alabama,Alabama,Baylor,-17.64352941176471,221.0
Houston,Kansas,Houston,-17.675757575757576,33.0
Florida State,Florida State,Illinois,-17.682089552238807,67.0
San Diego State,Gonzaga,San Diego State,-17.699047619047615,21.0
Alabama,Alabama,Ohio State,-17.712413793103448,87.0
Southern California,Southern California,Illinois,-17.73,18.0
Gonzaga,Gonzaga,Tennessee,-17.732520325203257,123.0
Iowa,Iowa,Arkansas,-17.75,20.0
Ohio State,Virginia,Ohio State,-17.769032258064513,31.0
Alabama,Alabama,Illinois,-17.79101449275363,207.0
Illinois,Louisiana State,Illinois,-17.935200000000002,25.0
Ohio State,Gonzaga,Ohio State,-17.939045092838196,377.0
Virginia,Virginia,Illinois,-17.954193548387096,93.0
Virginia,Virginia,Baylor,-17.961010101010096,99.0
Creighton,Creighton,Baylor,-17.98888888888889,27.0
Gonzaga,Gonzaga,Illinois,-17.992155945419032,2565.0
Ohio State,Kansas,Ohio State,-17.99822222222222,45.0
Gonzaga,Gonzaga,Ohio State,-18.011088295687887,974.0
Baylor,Kansas,Baylor,-18.01287878787878,132.0
Purdue,Michigan,Purdue,-18.035833333333333,24.0
Michigan,Michigan,Houston,-18.04929411764707,170.0
Tennessee,Gonzaga,Tennessee,-18.05350000000001,40.0
Arkansas,Michigan,Arkansas,-18.102758620689656,29.0
Illinois,Brigham Young,Illinois,-18.11904761904762,21.0
Arkansas,Gonzaga,Arkansas,-18.1469696969697,66.0
Gonzaga,Gonzaga,Rutgers,-18.14941176470589,17.0
Ohio State,Michigan,Ohio State,-18.170253164556964,158.0
Southern California,Southern California,Baylor,-18.1725,16.0
Gonzaga,Gonzaga,West Virginia,-18.217459283387615,307.0
Florida State,Florida State,Ohio State,-18.269565217391303,23.0
Gonzaga,Gonzaga,Baylor,-18.30677383177565,2675.0
Ohio State,Texas,Ohio State,-18.32057142857143,35.0
Florida State,Florida State,Baylor,-18.3376,75.0
Louisiana State,Louisiana State,Baylor,-18.357272727272726,22.0
Illinois,Connecticut,Illinois,-18.36,21.0
Virginia,Virginia,Ohio State,-18.373636363636365,44.0
Connecticut,Connecticut,Illinois,-18.411304347826086,23.0
Alabama,Alabama,West Virginia,-18.444137931034483,29.0
Michigan,Michigan,Texas Tech,-18.485263157894735,19.0
Gonzaga,Gonzaga,Florida,-18.487058823529413,34.0
Gonzaga,Gonzaga,Loyola (IL),-18.49264705882353,68.0
West Virginia,Gonzaga,West Virginia,-18.509917355371897,121.0
Gonzaga,Gonzaga,North Carolina,-18.532857142857143,98.0
Texas,Texas,Houston,-18.546666666666667,42.0
Iowa,Iowa,West Virginia,-18.557222222222226,36.0
Kansas,Kansas,Illinois,-18.57818181818182,121.0
Brigham Young,Brigham Young,Illinois,-18.59142857142857,21.0
West Virginia,Iowa,West Virginia,-18.60205128205128,39.0
Michigan,Michigan,Purdue,-18.608292682926827,41.0
Ohio State,Florida State,Ohio State,-18.616190476190475,21.0
Texas,Texas,Ohio State,-18.62222222222223,54.0
Kansas,Kansas,Houston,-18.709696969696964,33.0
Connecticut,Connecticut,Baylor,-18.715999999999998,20.0
Arkansas,Iowa,Arkansas,-18.72193548387097,31.0
Alabama,Alabama,Purdue,-18.739999999999995,18.0
Iowa,Iowa,Villanova,-18.80315789473684,19.0
Texas,Texas,Illinois,-18.83135135135136,111.0
Michigan,Michigan,Ohio State,-18.86285714285715,224.0
Michigan,Michigan,West Virginia,-18.876285714285718,70.0
Louisiana State,Louisiana State,Illinois,-18.908695652173915,23.0
Texas,Texas,Baylor,-18.930535714285725,112.0
Kansas,Kansas,Baylor,-18.93151079136691,139.0
Michigan,Michigan,Illinois,-18.956625659050975,569.0
West Virginia,Michigan,West Virginia,-18.989677419354837,31.0
Michigan,Michigan,Tennessee,-18.99615384615385,26.0
Iowa,Iowa,Oklahoma State,-19.00142857142857,42.0
Kansas,Kansas,Ohio State,-19.01675675675676,74.0
Gonzaga,Gonzaga,Villanova,-19.023152173913044,184.0
Michigan,Michigan,North Carolina,-19.029999999999994,20.0
North Carolina,Michigan,North Carolina,-19.065,24.0
Iowa,Iowa,North Carolina,-19.1125,16.0
Gonzaga,Gonzaga,Georgia Tech,-19.128095238095234,42.0
Alabama,Alabama,Oklahoma State,-19.137857142857147,28.0
Brigham Young,Brigham Young,Baylor,-19.14526315789474,19.0
Michigan,Michigan,Baylor,-19.147487520798695,601.0
Villanova,Gonzaga,Villanova,-19.15434782608695,46.0
Loyola (IL),Gonzaga,Loyola (IL),-19.192972972972974,37.0
North Carolina,Gonzaga,North Carolina,-19.208070175438596,57.0
Gonzaga,Gonzaga,Syracuse,-19.21533333333333,30.0
Michigan,Michigan,Villanova,-19.216250000000002,32.0
Michigan,Michigan,Arkansas,-19.30454545454545,44.0
Texas,Texas,Oklahoma State,-19.31851851851852,27.0
Oregon,Oregon,Illinois,-19.34166666666667,24.0
Gonzaga,Gonzaga,Oklahoma State,-19.344734042553206,376.0
Michigan,Michigan,Oklahoma State,-19.40463414634146,82.0
Oregon,Oregon,Baylor,-19.50222222222222,27.0
Baylor,Oklahoma,Baylor,-19.513076923076927,26.0
Illinois,Oklahoma,Illinois,-19.525925925925932,27.0
Oklahoma State,Alabama,Oklahoma State,-19.529629629629632,27.0
Oklahoma State,Michigan,Oklahoma State,-19.53056603773585,53.0
Georgia Tech,Gonzaga,Georgia Tech,-19.540000000000003,24.0
Gonzaga,Gonzaga,Virginia Tech,-19.573600000000003,25.0
Gonzaga,Gonzaga,Clemson,-19.63,34.0
Oklahoma State,Gonzaga,Oklahoma State,-19.6503076923077,130.0
Oklahoma State,Iowa,Oklahoma State,-19.65666666666666,36.0
Oklahoma State,Texas,Oklahoma State,-19.671818181818182,22.0
Gonzaga,Gonzaga,Colgate,-19.71294117647059,17.0
Illinois,Missouri,Illinois,-19.74736842105263,19.0
Gonzaga,Gonzaga,Oregon State,-19.75368421052632,19.0
Gonzaga,Gonzaga,Liberty,-19.835,16.0
Oklahoma,Oklahoma,Illinois,-19.861379310344827,29.0
Oklahoma,Oklahoma,Baylor,-19.88,28.0
Missouri,Missouri,Baylor,-19.936470588235295,17.0
Illinois,Norfolk State,Illinois,-19.93658536585366,41.0
Baylor,Norfolk State,Baylor,-19.947333333333336,30.0
Oklahoma,Oklahoma,Ohio State,-19.949411764705886,17.0
Gonzaga,Gonzaga,Hartford,-19.97212121212121,33.0
Missouri,Missouri,Illinois,-19.98,24.0
Norfolk State,Norfolk State,Illinois,-19.9925,24.0
Gonzaga,Gonzaga,Drexel,-19.99769230769231,26.0
Drexel,Gonzaga,Drexel,-20.0,18.0
Clemson,Gonzaga,Clemson,-20.0,18.0
Norfolk State,Norfolk State,Baylor,-20.0,21.0
