winner,f1,f2,EV,n
Gonzaga,Gonzaga,Houston,14.633050847457627,295.0
Baylor,Gonzaga,Baylor,12.98645598194131,443.0
Illinois,Iowa,Illinois,12.962837837837839,148.0
Baylor,Alabama,Baylor,12.25,92.0
Illinois,Gonzaga,Illinois,12.209044368600683,586.0
Baylor,Iowa,Baylor,12.203947368421053,114.0
Illinois,Alabama,Illinois,10.98421052631579,95.0
Baylor,Michigan,Baylor,9.539634146341463,164.0
Gonzaga,Gonzaga,Illinois,9.335768143261074,1061.0
Gonzaga,Gonzaga,Baylor,8.135956644674835,1061.0
Baylor,Texas,Baylor,7.8108108108108105,37.0
Iowa,Iowa,Illinois,6.99375,120.0
Baylor,Florida State,Baylor,5.4605263157894735,38.0
Illinois,Michigan,Illinois,5.259345794392523,214.0
Iowa,Iowa,Houston,5.168918918918919,37.0
Iowa,Iowa,Baylor,4.497967479674797,123.0
Houston,Gonzaga,Houston,4.301980198019802,101.0
Houston,Iowa,Houston,4.2578125,32.0
Iowa,Iowa,Ohio State,4.22093023255814,43.0
Gonzaga,Gonzaga,Ohio State,3.941666666666667,360.0
Baylor,Virginia,Baylor,2.8017241379310347,29.0
Houston,Alabama,Houston,2.7708333333333335,24.0
Illinois,Florida State,Illinois,1.9621212121212122,33.0
Houston,Michigan,Houston,1.587837837837838,37.0
Ohio State,Iowa,Ohio State,0.7325581395348837,43.0
Iowa,Iowa,West Virginia,0.4375,20.0
Illinois,Texas,Illinois,-1.0946969696969697,66.0
Ohio State,Alabama,Ohio State,-1.3020833333333333,24.0
Alabama,Alabama,Houston,-1.5326086956521738,23.0
Illinois,Virginia,Illinois,-1.95625,40.0
Iowa,Iowa,Oklahoma State,-2.6527777777777777,18.0
Ohio State,Michigan,Ohio State,-3.952830188679245,53.0
Baylor,Kansas,Baylor,-4.395348837209302,43.0
Gonzaga,Gonzaga,Purdue,-4.422413793103448,58.0
Ohio State,Gonzaga,Ohio State,-4.582258064516129,155.0
Alabama,Alabama,Baylor,-4.884831460674158,89.0
Gonzaga,Gonzaga,West Virginia,-5.151209677419355,124.0
Alabama,Alabama,Illinois,-5.296296296296297,81.0
Alabama,Alabama,Ohio State,-6.4411764705882355,34.0
Gonzaga,Gonzaga,Texas Tech,-6.593023255813954,43.0
Gonzaga,Gonzaga,Tennessee,-6.869565217391305,46.0
Illinois,Kansas,Illinois,-6.936567164179104,67.0
Michigan,Michigan,Houston,-7.037671232876712,73.0
Ohio State,Kansas,Ohio State,-7.510869565217392,23.0
Gonzaga,Gonzaga,Arkansas,-8.0,68.0
Gonzaga,Gonzaga,Loyola (IL),-8.288461538461538,26.0
Michigan,Michigan,Ohio State,-8.444444444444445,99.0
Michigan,Michigan,Illinois,-9.11888888888889,225.0
Gonzaga,Gonzaga,Villanova,-9.173333333333334,75.0
Michigan,Michigan,Baylor,-9.235943775100402,249.0
Gonzaga,Gonzaga,San Diego State,-10.15,20.0
Virginia,Virginia,Illinois,-10.267857142857142,42.0
Virginia,Virginia,Ohio State,-10.276315789473685,19.0
Gonzaga,Gonzaga,Oklahoma State,-10.363333333333333,150.0
Michigan,Michigan,Purdue,-10.375,18.0
Gonzaga,Gonzaga,North Carolina,-10.75,41.0
West Virginia,Iowa,West Virginia,-10.858695652173912,23.0
Texas,Texas,Ohio State,-11.152777777777779,18.0
Virginia,Virginia,Baylor,-11.198717948717949,39.0
Illinois,Norfolk State,Illinois,-11.25,17.0
Michigan,Michigan,West Virginia,-11.3125,40.0
Florida State,Florida State,Illinois,-11.40625,24.0
Florida State,Florida State,Baylor,-11.555555555555555,27.0
Texas,Texas,Houston,-12.875,20.0
Texas,Texas,Illinois,-12.895833333333334,36.0
Texas,Texas,Baylor,-13.181818181818182,44.0
Gonzaga,Gonzaga,Georgia Tech,-13.411764705882353,17.0
Michigan,Michigan,Oklahoma State,-14.392857142857142,28.0
West Virginia,Gonzaga,West Virginia,-14.65625,48.0
Purdue,Gonzaga,Purdue,-14.714285714285714,21.0
Arkansas,Gonzaga,Arkansas,-14.857142857142858,35.0
Tennessee,Gonzaga,Tennessee,-15.552631578947368,19.0
Oklahoma State,Michigan,Oklahoma State,-17.263157894736842,19.0
Kansas,Kansas,Ohio State,-17.479166666666668,36.0
Kansas,Kansas,Baylor,-17.654166666666665,60.0
Oklahoma State,Gonzaga,Oklahoma State,-17.722826086956523,46.0
North Carolina,Gonzaga,North Carolina,-18.065217391304348,23.0
Kansas,Kansas,Illinois,-18.208333333333332,54.0
