winner,f1,f2,EV,n
Gonzaga,Gonzaga,Illinois,11.605265107212507,2565.0
Gonzaga,Gonzaga,Baylor,10.71072710280373,2675.0
Illinois,Iowa,Illinois,10.515589743589748,390.0
Illinois,Gonzaga,Illinois,10.46699738903394,1532.0
Baylor,Iowa,Baylor,9.28612676056338,284.0
Gonzaga,Gonzaga,Houston,8.961472184531882,737.0
Baylor,Alabama,Baylor,8.474004629629624,216.0
Baylor,Gonzaga,Baylor,8.233888392857144,1120.0
Illinois,Alabama,Illinois,8.028108108108112,259.0
Illinois,Michigan,Illinois,7.465679702048423,537.0
Baylor,Michigan,Baylor,6.531379310344824,406.0
Gonzaga,Gonzaga,Ohio State,5.133593429158114,974.0
Baylor,Florida State,Baylor,3.892500000000002,74.0
Illinois,Florida State,Illinois,2.7882500000000006,80.0
Baylor,Virginia,Baylor,2.3824637681159415,69.0
Baylor,Texas,Baylor,2.1844214876033057,121.0
Illinois,Connecticut,Illinois,2.1592857142857134,21.0
Illinois,Texas,Illinois,2.140598802395209,167.0
Baylor,Kansas,Baylor,1.0531060606060605,132.0
Illinois,Kansas,Illinois,0.6466013071895427,153.0
Baylor,Creighton,Baylor,0.5562000000000004,25.0
Illinois,Virginia,Illinois,0.3837264150943395,106.0
Iowa,Iowa,Houston,-0.0051630434782611555,92.0
Houston,Iowa,Houston,-0.1422727272727273,88.0
Iowa,Iowa,Illinois,-0.1983833333333333,300.0
Iowa,Iowa,Baylor,-0.3523432343234324,303.0
Illinois,Brigham Young,Illinois,-1.0652380952380949,21.0
Illinois,Southern California,Illinois,-1.0997727272727276,22.0
Iowa,Iowa,Ohio State,-2.08208,125.0
Ohio State,Iowa,Ohio State,-2.989952830188679,106.0
Houston,Alabama,Houston,-3.200000000000001,54.0
Houston,Michigan,Houston,-3.210738636363635,88.0
Illinois,Creighton,Illinois,-3.4407142857142867,28.0
Houston,Gonzaga,Houston,-3.5603584905660384,265.0
Iowa,Iowa,Arkansas,-3.6064999999999996,20.0
Illinois,Missouri,Illinois,-3.6955263157894738,19.0
Baylor,Southern California,Baylor,-3.886,25.0
Illinois,Louisiana State,Illinois,-4.0594,25.0
Baylor,Oklahoma,Baylor,-4.098653846153847,26.0
Gonzaga,Gonzaga,Wisconsin,-4.420624999999999,40.0
Iowa,Iowa,Purdue,-4.455869565217391,23.0
Gonzaga,Gonzaga,Purdue,-4.781824324324324,148.0
Ohio State,Alabama,Ohio State,-4.843714285714286,70.0
Michigan,Michigan,Houston,-4.889705882352945,170.0
Gonzaga,Gonzaga,West Virginia,-4.987410423452772,307.0
Alabama,Alabama,Houston,-4.993461538461539,52.0
Iowa,Iowa,West Virginia,-5.807361111111112,36.0
Michigan,Michigan,Baylor,-5.8578702163061545,601.0
Illinois,Norfolk State,Illinois,-5.904024390243903,41.0
Illinois,Oklahoma,Illinois,-5.923703703703704,27.0
Alabama,Alabama,Baylor,-5.975475113122173,221.0
Michigan,Michigan,Illinois,-5.979297012302288,569.0
Gonzaga,Gonzaga,Arkansas,-6.089181286549704,171.0
Gonzaga,Gonzaga,Tennessee,-6.095406504065041,123.0
Iowa,Iowa,Villanova,-6.108421052631579,19.0
Houston,Kansas,Houston,-6.269545454545452,33.0
Gonzaga,Gonzaga,Texas Tech,-6.296447368421056,114.0
Ohio State,Michigan,Ohio State,-6.3435759493670885,158.0
Iowa,Iowa,Oklahoma State,-6.3484523809523825,42.0
Houston,Texas,Houston,-6.607199999999999,25.0
Alabama,Alabama,Ohio State,-6.708620689655172,87.0
Michigan,Michigan,Ohio State,-6.7894419642857144,224.0
Alabama,Alabama,Illinois,-6.7974154589371985,207.0
Iowa,Iowa,North Carolina,-7.2749999999999995,16.0
Ohio State,Gonzaga,Ohio State,-7.561405835543763,377.0
Ohio State,Texas,Ohio State,-7.577,35.0
Ohio State,Virginia,Ohio State,-7.750645161290323,31.0
Baylor,Norfolk State,Baylor,-7.9028333333333345,30.0
Ohio State,Florida State,Ohio State,-7.934047619047618,21.0
Gonzaga,Gonzaga,Oklahoma State,-8.117393617021275,376.0
Ohio State,Kansas,Ohio State,-8.19877777777778,45.0
Gonzaga,Gonzaga,Villanova,-8.21923913043478,184.0
Gonzaga,Gonzaga,San Diego State,-8.446176470588235,51.0
Alabama,Alabama,West Virginia,-9.246724137931034,29.0
Michigan,Michigan,West Virginia,-9.387785714285712,70.0
Florida State,Florida State,Houston,-9.615588235294117,17.0
Gonzaga,Gonzaga,Oregon State,-9.665263157894737,19.0
Gonzaga,Gonzaga,Loyola (IL),-9.81375,68.0
Alabama,Alabama,Purdue,-9.925000000000002,18.0
Michigan,Michigan,Arkansas,-10.185909090909094,44.0
