winner,f1,f2,EV,n
Baylor,Iowa,Baylor,12.753250000000001,29.0
Illinois,Gonzaga,Illinois,11.925526041666664,144.0
Illinois,Iowa,Illinois,10.667312500000003,40.0
Gonzaga,Gonzaga,Illinois,9.869853773584907,265.0
Gonzaga,Gonzaga,Baylor,8.807295150501671,299.0
Baylor,Gonzaga,Baylor,8.657552966101694,118.0
Baylor,Alabama,Baylor,8.612302631578949,19.0
Illinois,Michigan,Illinois,8.47241826923077,52.0
Gonzaga,Gonzaga,Houston,7.567390109890109,91.0
Baylor,Michigan,Baylor,6.674476190476192,42.0
Gonzaga,Gonzaga,Ohio State,5.4261386138613865,101.0
Illinois,Alabama,Illinois,5.328124999999999,24.0
Baylor,Kansas,Baylor,1.7593235294117648,17.0
Iowa,Iowa,Baylor,0.9517499999999999,28.0
Iowa,Iowa,Illinois,0.6191285714285716,35.0
Iowa,Iowa,Ohio State,-1.9801071428571426,21.0
Michigan,Michigan,Houston,-3.8017647058823525,17.0
Houston,Gonzaga,Houston,-4.128472222222222,27.0
Michigan,Michigan,Illinois,-5.253908163265305,49.0
Michigan,Michigan,Baylor,-5.811952380952379,63.0
Alabama,Alabama,Baylor,-5.879092105263158,19.0
Alabama,Alabama,Illinois,-5.9985277777777775,18.0
Ohio State,Michigan,Ohio State,-6.186781250000001,16.0
Michigan,Michigan,Ohio State,-6.633059523809526,21.0
Gonzaga,Gonzaga,West Virginia,-6.7093750000000005,26.0
Gonzaga,Gonzaga,Purdue,-6.872382352941176,17.0
Ohio State,Gonzaga,Ohio State,-7.1291562499999985,40.0
Gonzaga,Gonzaga,Villanova,-7.272397727272727,22.0
Gonzaga,Gonzaga,Oklahoma State,-10.445534722222224,36.0
Kansas,Kansas,Baylor,-12.699308823529408,17.0
