,R64,R32,S16,E8,F4,NCG,team_slot
Gonzaga,0.975,0.9179999999999999,0.828,0.67,0.5329999999999999,0.365,0
Norfolk State,0.025,0.012,0.006999999999999999,0.005,0.003,0.001,2
Oklahoma,0.608,0.040999999999999995,0.021,0.008,0.003,0.002,4
Missouri,0.392,0.028999999999999998,0.013999999999999999,0.006,0.003,0.002,6
Creighton,0.748,0.311,0.036000000000000004,0.013999999999999999,0.006,0.003,8
UC-Santa Barbara,0.253,0.066,0.008,0.003,0.001,0.001,10
Virginia,0.802,0.5429999999999999,0.078,0.037000000000000005,0.017,0.008,12
Ohio,0.198,0.081,0.009000000000000001,0.004,0.002,0.001,14
Southern California,0.7859999999999999,0.255,0.078,0.015,0.005,0.002,16
Wichita State,0.214,0.044000000000000004,0.011000000000000001,0.003,0.001,0.001,19
Kansas,0.927,0.677,0.284,0.07200000000000001,0.036000000000000004,0.017,20
Eastern Washington,0.073,0.024,0.006999999999999999,0.003,0.001,0.001,22
Oregon,0.662,0.13699999999999998,0.057999999999999996,0.012,0.005,0.003,24
Virginia Commonwealth,0.33799999999999997,0.049,0.016,0.004,0.002,0.001,26
Iowa,0.946,0.792,0.536,0.141,0.077,0.035,28
Grand Canyon,0.054000000000000006,0.023,0.011000000000000001,0.004,0.002,0.001,30
Michigan,0.972,0.826,0.632,0.413,0.141,0.081,32
Mount St. Mary's,0.027999999999999997,0.013000000000000001,0.006999999999999999,0.005,0.002,0.001,34
Louisiana State,0.6759999999999999,0.11900000000000001,0.057999999999999996,0.021,0.006,0.003,36
St. Bonaventure,0.324,0.043,0.018000000000000002,0.006999999999999999,0.002,0.001,38
Colorado,0.5429999999999999,0.21,0.053,0.021,0.005,0.002,40
Georgetown,0.457,0.155,0.034,0.013999999999999999,0.005,0.003,42
Florida State,0.902,0.604,0.191,0.084,0.02,0.008,44
North Carolina-Greensboro,0.098,0.031,0.008,0.003,0.001,0.001,46
Brigham Young,0.657,0.193,0.065,0.02,0.006,0.003,48
Michigan State,0.34299999999999997,0.084,0.027000000000000003,0.01,0.004,0.003,50
Texas,0.9259999999999999,0.696,0.32899999999999996,0.153,0.037000000000000005,0.015,52
Abilene Christian,0.07400000000000001,0.027999999999999997,0.008,0.003,0.001,0.001,54
Connecticut,0.56,0.139,0.063,0.024,0.008,0.004,56
Maryland,0.44,0.085,0.028999999999999998,0.008,0.003,0.001,58
Alabama,0.94,0.752,0.46799999999999997,0.212,0.061,0.027999999999999997,60
Iona,0.061,0.024,0.011000000000000001,0.004,0.002,0.001,62
Illinois,0.965,0.863,0.69,0.536,0.308,0.15,64
Drexel,0.035,0.016,0.009000000000000001,0.006,0.003,0.002,66
Loyola (IL),0.518,0.066,0.033,0.013999999999999999,0.006,0.003,68
Georgia Tech,0.48200000000000004,0.055,0.024,0.011000000000000001,0.004,0.002,70
Tennessee,0.7829999999999999,0.313,0.07400000000000001,0.034,0.013000000000000001,0.005,72
Oregon State,0.217,0.047,0.01,0.004,0.002,0.001,74
Oklahoma State,0.858,0.588,0.149,0.096,0.043,0.016,76
Liberty,0.142,0.053,0.011000000000000001,0.004,0.002,0.001,78
San Diego State,0.598,0.226,0.086,0.02,0.006999999999999999,0.003,80
Syracuse,0.402,0.121,0.042,0.012,0.005,0.003,82
West Virginia,0.924,0.628,0.313,0.083,0.032,0.012,84
Morehead State,0.076,0.025,0.008,0.003,0.001,0.001,86
Clemson,0.603,0.11699999999999999,0.040999999999999995,0.013000000000000001,0.004,0.002,88
Rutgers,0.397,0.073,0.021,0.005,0.002,0.001,90
Houston,0.95,0.789,0.48,0.157,0.07200000000000001,0.026000000000000002,92
Cleveland State,0.05,0.021,0.01,0.003,0.002,0.001,94
Baylor,0.968,0.825,0.698,0.496,0.29100000000000004,0.099,96
Hartford,0.032,0.013999999999999999,0.008,0.005,0.002,0.001,98
North Carolina,0.544,0.095,0.055999999999999994,0.027999999999999997,0.015,0.008,100
Wisconsin,0.456,0.066,0.032,0.013000000000000001,0.005,0.003,102
Villanova,0.7440000000000001,0.386,0.095,0.049,0.023,0.008,104
Winthrop,0.256,0.078,0.012,0.005,0.002,0.001,106
Purdue,0.888,0.503,0.09300000000000001,0.038,0.013000000000000001,0.005,108
North Texas,0.11199999999999999,0.033,0.008,0.003,0.001,0.001,110
Texas Tech,0.778,0.37,0.133,0.039,0.013000000000000001,0.005,112
Utah State,0.223,0.061,0.015,0.004,0.002,0.001,114
Arkansas,0.8590000000000001,0.521,0.188,0.064,0.023,0.009000000000000001,116
Colgate,0.141,0.049,0.015,0.005,0.002,0.001,118
Florida,0.55,0.09699999999999999,0.040999999999999995,0.013000000000000001,0.005,0.002,120
Virginia Tech,0.45,0.07200000000000001,0.027999999999999997,0.008,0.003,0.001,122
Ohio State,0.956,0.813,0.5720000000000001,0.228,0.09300000000000001,0.034,124
Oral Roberts,0.044000000000000004,0.018000000000000002,0.009000000000000001,0.003,0.001,0.001,126
