,Team,EV,std
55,Gonzaga,3.1649804756833504,9.152198875442753
25,Illinois,1.8987603305785132,7.5195762177728795
47,Baylor,1.1500000000000004,7.196245443128782
33,Houston,-1.3505586592178762,4.682137910878276
37,Iowa,-1.4207317073170724,4.911584952055148
61,Alabama,-3.1206896551724146,5.229006961941344
17,Michigan,-3.418168168168168,4.822435843680431
51,Ohio State,-3.744983277591973,4.527597135552928
26,Florida State,-5.6,3.7903758590069105
18,Virginia,-5.7453271028037385,3.184199884025549
21,Texas,-6.306451612903226,3.3816876994818204
38,Tennessee,-6.431818181818182,2.5056753762028094
13,Creighton,-6.5,2.449489742783178
39,West Virginia,-6.835106382978723,2.7917296233045628
49,Kansas,-6.863793103448276,2.7743522940212544
27,Southern California,-6.892857142857143,2.7625835972632813
36,Colorado,-6.934210526315789,2.6677629325574426
14,Arkansas,-7.080508474576271,2.717456609892986
20,Purdue,-7.083333333333333,2.5626891903866964
46,Texas Tech,-7.107142857142857,2.903200204700225
28,Wisconsin,-7.163043478260869,2.4104515510256364
63,Villanova,-7.194444444444445,2.766580606808385
43,San Diego State,-7.367647058823529,2.2605959651488052
34,Brigham Young,-7.726190476190476,2.27198256197198
58,Louisiana State,-7.9021739130434785,2.404705532004319
31,Oklahoma State,-8.091121495327103,1.9626201812030946
4,Connecticut,-8.096153846153847,2.1852653421002715
48,Winthrop,-8.25,2.8284271247461903
32,Georgetown,-8.607142857142858,1.9057460827371866
16,Loyola (IL),-8.663793103448276,1.4520242367937435
5,Utah State,-8.75,2.6457513110645907
62,Michigan State,-8.75,1.51657508881031
6,Oklahoma,-8.916666666666666,1.767146575002724
59,North Carolina,-8.99,1.411469056677894
15,Syracuse,-9.05,1.4757295747452437
56,Liberty,-9.083333333333334,1.9407902170679516
24,Oregon,-9.13888888888889,1.7394369852458083
44,Florida,-9.25,2.0976176963403033
52,Wichita State,-9.25,1.4142135623730951
7,Oregon State,-9.25,2.8284271247461903
22,Maryland,-9.25,1.247219128924647
1,Cleveland State,-9.36111111111111,2.4720661623652207
41,St. Bonaventure,-9.392857142857142,1.2149857925879117
3,Georgia Tech,-9.485294117647058,1.251469724199605
2,Missouri,-9.544117647058824,1.6494205756247002
35,Rutgers,-9.583333333333334,0.5773502691896257
53,Eastern Washington,-9.583333333333334,1.0327955589886444
40,Abilene Christian,-9.583333333333334,1.1547005383792517
9,Clemson,-9.583333333333334,1.3662601021279464
8,North Texas,-9.65,2.302172886644268
30,Norfolk State,-9.7,1.3945382182304162
45,Colgate,-9.75,0.7071067811865476
54,Virginia Tech,-9.916666666666666,1.2247448713915892
23,Drexel,-9.942307692307692,1.031553471276484
12,UC-Santa Barbara,-10.0,1.8929694486000912
10,Ohio,-10.116666666666667,0.8338093878327917
60,Hartford,-10.25,0.816496580927726
19,Virginia Commonwealth,-10.25,0.6324555320336759
50,Grand Canyon,-10.25,0.9258200997725514
29,North Carolina-Greensboro,-10.583333333333334,0.816496580927726
42,Iona,-10.583333333333334,0.5773502691896258
57,Mount St. Mary's,-10.583333333333334,0.5163977794943223
11,Oral Roberts,-10.625,0.5175491695067657
0,Morehead State,-10.916666666666666,0.5773502691896258
