winner,EV,n
Baylor,10.019031894934336,2665.0
Houston,9.33713385826772,635.0
Illinois,7.997234162895923,3536.0
Iowa,5.745550329256826,1063.0
Gonzaga,1.407937673900945,8985.0
Ohio State,-0.9496059637912667,939.0
Alabama,-1.8199725651577516,729.0
Michigan,-7.5102533532041456,2013.0
Virginia,-8.615527950310561,322.0
Florida State,-10.384848484848483,231.0
Texas,-11.451594202898546,414.0
Kansas,-11.49178807947019,453.0
Purdue,-11.77761904761905,126.0
Texas Tech,-12.04027027027026,74.0
West Virginia,-12.536985294117642,272.0
Colorado,-12.606382978723405,47.0
Creighton,-13.316666666666661,108.0
Arkansas,-13.647897435897443,195.0
Wisconsin,-13.738840579710144,69.0
Southern California,-14.438000000000002,50.0
Tennessee,-14.54163265306123,98.0
San Diego State,-15.776981132075472,53.0
Villanova,-16.253543307086616,127.0
Connecticut,-16.270724637681155,69.0
North Carolina,-16.289843750000003,128.0
Louisiana State,-16.30913580246914,81.0
Oklahoma State,-16.692361516034985,343.0
Brigham Young,-16.889830508474574,59.0
Maryland,-17.206153846153846,26.0
Loyola (IL),-17.523132530120485,83.0
Michigan State,-17.77357142857143,28.0
Oregon,-17.897142857142857,84.0
Syracuse,-18.36139534883721,43.0
Florida,-18.370370370370367,27.0
Georgia Tech,-18.506666666666664,45.0
Georgetown,-18.594210526315784,38.0
Oklahoma,-18.79944444444445,108.0
St. Bonaventure,-18.811034482758622,29.0
Clemson,-19.152121212121216,33.0
Oral Roberts,-19.174444444444443,18.0
Winthrop,-19.183,20.0
Virginia Tech,-19.216190476190473,21.0
Missouri,-19.260845070422533,71.0
Virginia Commonwealth,-19.28,16.0
UC-Santa Barbara,-19.322105263157894,19.0
Abilene Christian,-19.33777777777778,18.0
Drexel,-19.42933333333333,45.0
Ohio,-19.460606060606064,33.0
Norfolk State,-19.486,70.0
Mount St. Mary's,-19.500999999999998,20.0
Hartford,-19.527027027027025,37.0
Liberty,-19.54090909090909,22.0
Cleveland State,-19.734285714285715,21.0
Grand Canyon,-19.745555555555555,18.0
