winner,EV,n
Houston,16.727244094488203,635.0
Texas Tech,16.497297297297294,74.0
Colorado,13.948936170212765,47.0
Baylor,8.204953095684806,2665.0
Illinois,5.833936651583709,3536.0
Iowa,5.115898400752583,1063.0
Wisconsin,3.014492753623189,69.0
San Diego State,1.071698113207547,53.0
Alabama,0.9646090534979428,729.0
Purdue,0.9634920634920638,126.0
Tennessee,0.7979591836734703,98.0
Southern California,0.4879999999999999,50.0
Florida State,-0.35844155844155867,231.0
Ohio State,-0.3831735889243878,939.0
Gonzaga,-0.5828603227601524,8985.0
Virginia,-1.439751552795032,322.0
Creighton,-1.7851851851851852,108.0
Arkansas,-5.39282051282051,195.0
West Virginia,-7.095588235294117,272.0
Brigham Young,-7.383050847457626,59.0
Texas,-7.7362318840579745,414.0
Michigan,-9.22364629905613,2013.0
Kansas,-9.642384105960263,453.0
North Carolina,-10.2859375,128.0
Louisiana State,-10.35308641975309,81.0
Villanova,-11.06456692913386,127.0
Loyola (IL),-12.226506024096386,83.0
Connecticut,-12.382608695652175,69.0
Maryland,-12.55384615384615,26.0
Oregon,-13.373809523809522,84.0
Michigan State,-14.178571428571429,28.0
Georgia Tech,-14.382222222222225,45.0
Syracuse,-15.534883720930235,43.0
Florida,-16.59259259259259,27.0
Oklahoma State,-16.61574344023324,343.0
Georgetown,-17.5,38.0
Clemson,-17.98787878787879,33.0
St. Bonaventure,-18.179310344827588,29.0
Oklahoma,-18.551851851851854,108.0
Virginia Tech,-18.74285714285714,21.0
Missouri,-19.12676056338028,71.0
Virginia Commonwealth,-19.325,16.0
Cleveland State,-19.885714285714286,21.0
Hartford,-19.91351351351351,37.0
Drexel,-19.96,45.0
Winthrop,-20.0,20.0
Norfolk State,-20.0,70.0
UC-Santa Barbara,-20.0,19.0
Ohio,-20.0,33.0
Grand Canyon,-20.0,18.0
Liberty,-20.0,22.0
Oral Roberts,-20.0,18.0
Mount St. Mary's,-20.0,20.0
Abilene Christian,-20.0,18.0
