winner,EV,n
Baylor,9.401895734597156,1055.0
Illinois,7.214131218457101,1387.0
Gonzaga,4.815980968373916,3573.0
Iowa,3.5414746543778803,434.0
Houston,2.4745762711864407,236.0
Ohio State,-4.443864229765013,383.0
Alabama,-5.819491525423729,295.0
Michigan,-9.799460431654676,834.0
Virginia,-10.90648854961832,131.0
Florida State,-11.878048780487806,82.0
Colorado,-12.416666666666666,24.0
Southern California,-12.5625,16.0
Texas,-13.290372670807454,161.0
West Virginia,-13.6875,120.0
Creighton,-13.94186046511628,43.0
Purdue,-13.947761194029852,67.0
Arkansas,-14.430921052631579,76.0
Tennessee,-15.302631578947368,38.0
Texas Tech,-15.517857142857142,28.0
Villanova,-15.53061224489796,49.0
Wisconsin,-15.574074074074074,27.0
San Diego State,-16.083333333333332,24.0
Connecticut,-16.25,37.0
Louisiana State,-16.475,30.0
Loyola (IL),-16.75,32.0
Oklahoma State,-17.041666666666668,132.0
Brigham Young,-17.079545454545453,22.0
North Carolina,-17.125,62.0
Oregon,-17.4296875,32.0
Kansas,-17.675257731958762,194.0
Georgetown,-17.77777777777778,18.0
Missouri,-18.01,25.0
Oklahoma,-18.369565217391305,46.0
Drexel,-18.5625,16.0
Norfolk State,-18.9,25.0
Georgia Tech,-18.916666666666668,21.0
Hartford,-18.9375,16.0
Ohio,-19.34722222222222,18.0
