winner,EV,n
Illinois,7.34341911764707,3536.0
Baylor,6.221437148217638,2665.0
Gonzaga,6.026984418475269,8985.0
Iowa,-1.8416368767638724,1063.0
Houston,-3.646448818897639,635.0
Ohio State,-7.01077209797657,939.0
Michigan,-7.093713363139598,2013.0
Alabama,-7.241872427983535,729.0
Virginia,-12.102391304347828,322.0
Florida State,-12.705844155844154,231.0
Texas,-12.942065217391296,414.0
Kansas,-13.078830022075037,453.0
Colorado,-14.127234042553194,47.0
Purdue,-14.33968253968254,126.0
West Virginia,-14.43194852941176,272.0
Southern California,-14.732099999999996,50.0
Creighton,-14.886203703703709,108.0
Tennessee,-14.930714285714284,98.0
Arkansas,-14.994641025641007,195.0
Texas Tech,-15.017162162162158,74.0
Wisconsin,-15.49536231884058,69.0
Louisiana State,-15.823703703703707,81.0
Brigham Young,-15.990847457627119,59.0
Connecticut,-16.02311594202899,69.0
San Diego State,-16.17349056603774,53.0
Villanova,-16.286456692913386,127.0
Oklahoma State,-16.296603498542282,343.0
North Carolina,-16.55492187499999,128.0
Maryland,-16.71365384615385,26.0
Georgetown,-16.726315789473684,38.0
Oregon,-16.871369047619048,84.0
Oklahoma,-16.880138888888887,108.0
Abilene Christian,-16.934166666666666,18.0
Loyola (IL),-17.06439759036144,83.0
Winthrop,-17.09725,20.0
Michigan State,-17.10857142857143,28.0
St. Bonaventure,-17.239137931034488,29.0
Syracuse,-17.366279069767437,43.0
Florida,-17.38425925925926,27.0
UC-Santa Barbara,-17.476578947368417,19.0
Missouri,-17.509577464788734,71.0
Virginia Commonwealth,-17.6475,16.0
Norfolk State,-17.710500000000007,70.0
Virginia Tech,-18.011666666666663,21.0
Clemson,-18.028181818181825,33.0
Georgia Tech,-18.061999999999998,45.0
Liberty,-18.106590909090908,22.0
Mount St. Mary's,-18.107250000000004,20.0
Ohio,-18.290454545454544,33.0
Drexel,-18.49855555555556,45.0
Cleveland State,-18.511666666666667,21.0
Oral Roberts,-18.523611111111112,18.0
Hartford,-18.690135135135137,37.0
Grand Canyon,-18.953055555555558,18.0
