,Bracket Name,Picks,Round,Winner,Correct?,Points,Total
0,b'Dayton was Robbed',Gonzaga,1.0,Gonzaga,True,1.0,76.0
1,b'Dayton was Robbed',Memphis,1.0,Memphis,True,1.0,76.0
2,b'Dayton was Robbed',New Mexico St,1.0,New Mexico St,True,1.0,76.0
3,b'Dayton was Robbed',Arkansas,1.0,Arkansas,True,1.0,76.0
4,b'Dayton was Robbed',Alabama,1.0,Notre Dame,False,0.0,76.0
5,b'Dayton was Robbed',Montana State,1.0,Texas Tech,False,0.0,76.0
6,b'Dayton was Robbed',Davidson,1.0,Michigan State,False,0.0,76.0
7,b'Dayton was Robbed',Duke,1.0,Duke,True,1.0,76.0
8,b'Dayton was Robbed',Baylor,1.0,Baylor,True,1.0,76.0
9,b'Dayton was Robbed',North Carolina,1.0,North Carolina,True,1.0,76.0
10,b'Dayton was Robbed',Saint Mary's,1.0,Saint Mary's,True,1.0,76.0
11,b'Dayton was Robbed',UCLA,1.0,UCLA,True,1.0,76.0
12,b'Dayton was Robbed',Virginia Tech,1.0,Texas,False,0.0,76.0
13,b'Dayton was Robbed',Purdue,1.0,Purdue,True,1.0,76.0
14,b'Dayton was Robbed',San Francisco,1.0,Murray State,False,0.0,76.0
15,b'Dayton was Robbed',Kentucky,1.0,Saint Peter's,False,0.0,76.0
16,b'Dayton was Robbed',Arizona,1.0,Arizona,True,1.0,76.0
17,b'Dayton was Robbed',Seton Hall,1.0,TCU,False,0.0,76.0
18,b'Dayton was Robbed',Houston,1.0,Houston,True,1.0,76.0
19,b'Dayton was Robbed',Illinois,1.0,Illinois,True,1.0,76.0
20,b'Dayton was Robbed',Michigan,1.0,Michigan,True,1.0,76.0
21,b'Dayton was Robbed',Tennessee,1.0,Tennessee,True,1.0,76.0
22,b'Dayton was Robbed',Ohio State,1.0,Ohio State,True,1.0,76.0
23,b'Dayton was Robbed',Villanova,1.0,Villanova,True,1.0,76.0
24,b'Dayton was Robbed',Kansas,1.0,Kansas,True,1.0,76.0
25,b'Dayton was Robbed',Creighton,1.0,Creighton,True,1.0,76.0
26,b'Dayton was Robbed',Richmond,1.0,Richmond,True,1.0,76.0
27,b'Dayton was Robbed',S Dakota St,1.0,Providence,False,0.0,76.0
28,b'Dayton was Robbed',LSU,1.0,Iowa State,False,0.0,76.0
29,b'Dayton was Robbed',Wisconsin,1.0,Wisconsin,True,1.0,76.0
30,b'Dayton was Robbed',USC,1.0,Miami,False,0.0,76.0
31,b'Dayton was Robbed',Auburn,1.0,Auburn,True,1.0,76.0
32,b'Dayton was Robbed',Gonzaga,2.0,Gonzaga,True,2.0,76.0
33,b'Dayton was Robbed',Arkansas,2.0,Arkansas,True,2.0,76.0
34,b'Dayton was Robbed',Alabama,2.0,Texas Tech,False,0.0,76.0
35,b'Dayton was Robbed',Duke,2.0,Duke,True,2.0,76.0
36,b'Dayton was Robbed',Baylor,2.0,North Carolina,False,0.0,76.0
37,b'Dayton was Robbed',UCLA,2.0,UCLA,True,2.0,76.0
38,b'Dayton was Robbed',Purdue,2.0,Purdue,True,2.0,76.0
39,b'Dayton was Robbed',Kentucky,2.0,Saint Peter's,False,0.0,76.0
40,b'Dayton was Robbed',Arizona,2.0,Arizona,True,2.0,76.0
41,b'Dayton was Robbed',Houston,2.0,Houston,True,2.0,76.0
42,b'Dayton was Robbed',Tennessee,2.0,Michigan,False,0.0,76.0
