,Bracket Name,Picks,Round,Winner,Correct?,Points,Total
0,Hot HOOPiters ,Duke,1.0,Duke,True,1.0,86.0
1,Hot HOOPiters ,VCU,1.0,UCF,False,0.0,86.0
2,Hot HOOPiters ,Mississippi St,1.0,Liberty,False,0.0,86.0
3,Hot HOOPiters ,Virginia Tech,1.0,Virginia Tech,True,1.0,86.0
4,Hot HOOPiters ,Belmont,1.0,Maryland,False,0.0,86.0
5,Hot HOOPiters ,LSU,1.0,LSU,True,1.0,86.0
6,Hot HOOPiters ,Louisville,1.0,Minnesota,False,0.0,86.0
7,Hot HOOPiters ,Michigan State,1.0,Michigan State,True,1.0,86.0
8,Hot HOOPiters ,Gonzaga,1.0,Gonzaga,True,1.0,86.0
9,Hot HOOPiters ,Syracuse,1.0,Baylor,False,0.0,86.0
10,Hot HOOPiters ,Marquette,1.0,Murray State,False,0.0,86.0
11,Hot HOOPiters ,Florida St,1.0,Florida St,True,1.0,86.0
12,Hot HOOPiters ,Buffalo,1.0,Buffalo,True,1.0,86.0
13,Hot HOOPiters ,Texas Tech,1.0,Texas Tech,True,1.0,86.0
14,Hot HOOPiters ,Nevada,1.0,Florida,False,0.0,86.0
15,Hot HOOPiters ,Michigan,1.0,Michigan,True,1.0,86.0
16,Hot HOOPiters ,Virginia,1.0,Virginia,True,1.0,86.0
17,Hot HOOPiters ,Oklahoma,1.0,Oklahoma,True,1.0,86.0
18,Hot HOOPiters ,Wisconsin,1.0,Oregon,False,0.0,86.0
19,Hot HOOPiters ,Kansas State,1.0,UC Irvine,False,0.0,86.0
20,Hot HOOPiters ,Villanova,1.0,Villanova,True,1.0,86.0
21,Hot HOOPiters ,Purdue,1.0,Purdue,True,1.0,86.0
22,Hot HOOPiters ,Cincinnati,1.0,Iowa,False,0.0,86.0
23,Hot HOOPiters ,Tennessee,1.0,Tennessee,True,1.0,86.0
24,Hot HOOPiters ,North Carolina,1.0,North Carolina,True,1.0,86.0
25,Hot HOOPiters ,Utah State,1.0,Washington,False,0.0,86.0
26,Hot HOOPiters ,Auburn,1.0,Auburn,True,1.0,86.0
27,Hot HOOPiters ,Kansas,1.0,Kansas,True,1.0,86.0
28,Hot HOOPiters ,Iowa State,1.0,Ohio State,False,0.0,86.0
