pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
0,4,0.12,0.46,32.0,49.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
0,7,0.1,0.4,27.0,46.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
0,18,0.11,0.33,25.0,47.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Baylor
0,12,0.07,0.31,20.0,41.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
0,5,0.08,0.21,17.0,42.0,Iowa,Texas,Houston,Baylor,Iowa,Baylor,Iowa
0,8,0.06,0.24,16.0,37.0,Gonzaga,Michigan,West Virginia,Ohio State,Gonzaga,West Virginia,Gonzaga
0,3,0.05,0.24,15.0,36.0,Gonzaga,Florida State,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
0,10,0.04,0.19,12.0,31.0,Gonzaga,Michigan,Houston,Baylor,Gonzaga,Baylor,Gonzaga
0,14,0.04,0.18,12.0,33.0,Gonzaga,Florida State,Houston,Baylor,Florida State,Baylor,Baylor
0,20,0.04,0.15,11.0,33.0,Gonzaga,Alabama,Illinois,Hartford,Alabama,Illinois,Illinois
0,0,0.04,0.17,11.0,33.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Illinois,Illinois
0,22,0.02,0.19,10.0,28.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
0,24,0.03,0.13,8.0,28.0,Gonzaga,Michigan,Houston,Baylor,Michigan,Baylor,Michigan
0,1,0.03,0.08,7.0,28.0,Iowa,Alabama,Oklahoma State,Ohio State,Alabama,Ohio State,Ohio State
0,17,0.02,0.1,7.0,25.0,Kansas,Connecticut,Illinois,Baylor,Kansas,Illinois,Illinois
0,6,0.02,0.09,6.0,26.0,Oklahoma,Michigan,Illinois,Texas Tech,Michigan,Illinois,Illinois
0,11,0.02,0.08,5.0,21.0,Iowa,Maryland,Illinois,Baylor,Iowa,Baylor,Iowa
0,15,0.02,0.07,5.0,22.0,Iowa,Texas,Oklahoma State,Baylor,Iowa,Baylor,Iowa
0,16,0.02,0.07,5.0,22.0,Gonzaga,Louisiana State,Illinois,Villanova,Gonzaga,Villanova,Gonzaga
0,21,0.02,0.06,5.0,23.0,Virginia,Alabama,San Diego State,Baylor,Virginia,San Diego State,Virginia
0,13,0.02,0.07,4.0,21.0,Kansas,Michigan,Illinois,Florida,Michigan,Illinois,Michigan
0,19,0.01,0.06,4.0,18.0,Gonzaga,Connecticut,Houston,Baylor,Gonzaga,Houston,Gonzaga
0,9,0.01,0.06,3.0,18.0,Creighton,Georgetown,Illinois,Baylor,Georgetown,Illinois,Georgetown
0,23,0.01,0.04,3.0,18.0,Iowa,Michigan,Oklahoma State,Texas Tech,Iowa,Oklahoma State,Oklahoma State
0,2,0.01,0.02,2.0,13.0,Gonzaga,Alabama,Oklahoma State,Hartford,Gonzaga,Oklahoma State,Oklahoma State
1,9,0.21,0.61,48.0,57.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
1,1,0.08,0.38,25.0,44.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
1,12,0.09,0.31,23.0,45.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Illinois
1,16,0.08,0.2,16.0,41.0,Iowa,Alabama,Houston,Baylor,Alabama,Houston,Alabama
1,23,0.05,0.2,13.0,35.0,Gonzaga,Michigan,Illinois,Ohio State,Michigan,Illinois,Illinois
1,22,0.04,0.21,13.0,34.0,Gonzaga,Florida State,Houston,Baylor,Florida State,Baylor,Baylor
1,5,0.06,0.18,13.0,37.0,Iowa,Texas,Illinois,Baylor,Iowa,Baylor,Baylor
1,8,0.05,0.2,13.0,34.0,Gonzaga,Florida State,Houston,Arkansas,Gonzaga,Arkansas,Gonzaga
1,11,0.03,0.17,11.0,31.0,Gonzaga,Florida State,Illinois,Ohio State,Gonzaga,Ohio State,Ohio State
1,7,0.04,0.13,10.0,31.0,Gonzaga,Brigham Young,West Virginia,Ohio State,Gonzaga,West Virginia,Gonzaga
1,10,0.03,0.17,10.0,29.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Ohio State,Ohio State
1,18,0.04,0.14,9.0,30.0,Gonzaga,Michigan,Oklahoma State,Purdue,Gonzaga,Purdue,Purdue
1,24,0.02,0.16,9.0,26.0,Gonzaga,Brigham Young,Illinois,Ohio State,Gonzaga,Ohio State,Ohio State
1,3,0.03,0.14,9.0,29.0,Gonzaga,Michigan,Illinois,Villanova,Michigan,Illinois,Illinois
1,6,0.02,0.17,8.0,24.0,Gonzaga,Michigan State,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
1,19,0.03,0.14,8.0,28.0,Gonzaga,Michigan,Loyola (IL),Baylor,Gonzaga,Baylor,Baylor
1,17,0.03,0.09,6.0,26.0,Gonzaga,Texas,Illinois,Ohio State,Gonzaga,Illinois,Illinois
1,2,0.02,0.1,6.0,22.0,Gonzaga,Michigan,West Virginia,Baylor,Michigan,Baylor,Baylor
1,4,0.02,0.07,5.0,22.0,Kansas,Michigan,Houston,Baylor,Kansas,Baylor,Kansas
1,20,0.01,0.08,5.0,20.0,Gonzaga,Colorado,Illinois,Arkansas,Gonzaga,Arkansas,Gonzaga
1,0,0.01,0.04,3.0,19.0,Virginia,Michigan,West Virginia,Ohio State,Virginia,Ohio State,Virginia
1,14,0.0,0.04,2.0,12.0,Kansas,Florida State,Oklahoma State,Baylor,Florida State,Oklahoma State,Florida State
1,15,0.01,0.04,2.0,13.0,Oklahoma,Texas,Tennessee,Baylor,Oklahoma,Baylor,Oklahoma
1,13,0.0,0.02,1.0,12.0,Kansas,Michigan,Loyola (IL),Baylor,Kansas,Loyola (IL),Loyola (IL)
1,21,0.0,0.02,1.0,8.0,Norfolk State,Texas,Drexel,Baylor,Texas,Baylor,Baylor
2,21,0.15,0.39,32.0,53.0,Gonzaga,Michigan,Houston,Baylor,Gonzaga,Houston,Gonzaga
2,1,0.1,0.41,27.0,46.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
2,16,0.1,0.33,25.0,46.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Baylor
2,3,0.09,0.35,23.0,44.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
2,10,0.08,0.23,19.0,43.0,Iowa,Brigham Young,Illinois,Baylor,Iowa,Baylor,Baylor
2,18,0.05,0.23,15.0,36.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
2,19,0.03,0.29,14.0,31.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
2,5,0.04,0.18,12.0,33.0,Gonzaga,Texas,Oklahoma State,Baylor,Gonzaga,Baylor,Gonzaga
2,23,0.05,0.14,11.0,34.0,Iowa,Michigan,Illinois,Ohio State,Iowa,Ohio State,Ohio State
2,0,0.03,0.15,10.0,30.0,Iowa,Michigan,Houston,Baylor,Iowa,Baylor,Iowa
2,13,0.03,0.16,10.0,30.0,Gonzaga,Michigan,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
2,8,0.03,0.16,10.0,28.0,Gonzaga,Alabama,West Virginia,Baylor,Gonzaga,Baylor,Gonzaga
2,15,0.02,0.13,8.0,26.0,Gonzaga,Michigan,Illinois,Villanova,Gonzaga,Villanova,Gonzaga
