,538,ESPN
0,Southern California,USC
1,Connecticut,UConn
2,Louisiana State,LSU
3,Brigham Young,BYU
4,Loyola (IL),Loyola Chicago
5,Michigan State,MSU/UCLA
6,Virginia Commonwealth,VCU
7,Wichita State,WICH/DRKE
8,North Carolina-Greensboro,UNC Greensboro
9,UC-Santa Barbara,UCSB
10,Abilene Christian,Abil Christian
11,Eastern Washington,E Washington
12,Mount St. Mary's,MSM/TXSO
13,Norfolk State,NORF/APP
14,Alabama-Birmingham,UAB
15,Saint Mary's (CA),Saint Mary's
16,Cal State Fullerton,CSU Fullerton
17,Jacksonville State,J'Ville St
18,Miami (FL),Miami
19,Texas Christian,TCU
20,South Dakota State,S Dakota St
21,New Mexico State,New Mexico St
