,Bracket Name,Picks,Round,Winner,Correct?,Points,Total
0,My Swell Bracket,Duke,1.0,Duke,True,1.0,72.0
1,My Swell Bracket,UCF,1.0,UCF,True,1.0,72.0
2,My Swell Bracket,Liberty,1.0,Liberty,True,1.0,72.0
3,My Swell Bracket,Virginia Tech,1.0,Virginia Tech,True,1.0,72.0
4,My Swell Bracket,Belmont,1.0,Maryland,False,0.0,72.0
5,My Swell Bracket,LSU,1.0,LSU,True,1.0,72.0
6,My Swell Bracket,Louisville,1.0,Minnesota,False,0.0,72.0
7,My Swell Bracket,Michigan St.,1.0,Michigan St.,True,1.0,72.0
8,My Swell Bracket,Gonzaga,1.0,Gonzaga,True,1.0,72.0
9,My Swell Bracket,Baylor,1.0,Baylor,True,1.0,72.0
10,My Swell Bracket,Marquette,1.0,Murray St.,False,0.0,72.0
11,My Swell Bracket,Florida St.,1.0,Florida St.,True,1.0,72.0
12,My Swell Bracket,Buffalo,1.0,Buffalo,True,1.0,72.0
13,My Swell Bracket,Texas Tech,1.0,Texas Tech,True,1.0,72.0
14,My Swell Bracket,Florida,1.0,Florida,True,1.0,72.0
15,My Swell Bracket,Michigan,1.0,Michigan,True,1.0,72.0
16,My Swell Bracket,Virginia,1.0,Virginia,True,1.0,72.0
17,My Swell Bracket,Oklahoma,1.0,Oklahoma,True,1.0,72.0
18,My Swell Bracket,Oregon,1.0,Oregon,True,1.0,72.0
19,My Swell Bracket,Kansas St.,1.0,UC Irvine,False,0.0,72.0
20,My Swell Bracket,Villanova,1.0,Villanova,True,1.0,72.0
21,My Swell Bracket,Purdue,1.0,Purdue,True,1.0,72.0
22,My Swell Bracket,Iowa,1.0,Iowa,True,1.0,72.0
23,My Swell Bracket,Tennessee,1.0,Tennessee,True,1.0,72.0
24,My Swell Bracket,N. Carolina,1.0,N. Carolina,True,1.0,72.0
25,My Swell Bracket,Washington,1.0,Washington,True,1.0,72.0
26,My Swell Bracket,Auburn,1.0,Auburn,True,1.0,72.0
27,My Swell Bracket,Kansas,1.0,Kansas,True,1.0,72.0
28,My Swell Bracket,Iowa St.,1.0,Ohio St.,False,0.0,72.0
29,My Swell Bracket,Houston,1.0,Houston,True,1.0,72.0
30,My Swell Bracket,Seton Hall,1.0,Wofford,False,0.0,72.0
31,My Swell Bracket,Kentucky,1.0,Kentucky,True,1.0,72.0
32,My Swell Bracket,Duke,2.0,Duke,True,2.0,72.0
33,My Swell Bracket,Virginia Tech,2.0,Virginia Tech,True,2.0,72.0
34,My Swell Bracket,LSU,2.0,LSU,True,2.0,72.0
35,My Swell Bracket,Michigan St.,2.0,Michigan St.,True,2.0,72.0
36,My Swell Bracket,Gonzaga,2.0,Gonzaga,True,2.0,72.0
37,My Swell Bracket,Marquette,2.0,Florida St.,False,0.0,72.0
38,My Swell Bracket,Texas Tech,2.0,Texas Tech,True,2.0,72.0
39,My Swell Bracket,Michigan,2.0,Michigan,True,2.0,72.0
40,My Swell Bracket,Virginia,2.0,Virginia,True,2.0,72.0
41,My Swell Bracket,Oregon,2.0,Oregon,True,2.0,72.0
42,My Swell Bracket,Purdue,2.0,Purdue,True,2.0,72.0
43,My Swell Bracket,Tennessee,2.0,Tennessee,True,2.0,72.0
44,My Swell Bracket,N. Carolina,2.0,N. Carolina,True,2.0,72.0
45,My Swell Bracket,Auburn,2.0,Auburn,True,2.0,72.0
46,My Swell Bracket,Houston,2.0,Houston,True,2.0,72.0
47,My Swell Bracket,Kentucky,2.0,Kentucky,True,2.0,72.0
48,My Swell Bracket,Duke,4.0,Duke,True,4.0,72.0
49,My Swell Bracket,LSU,4.0,Michigan St.,False,0.0,72.0
50,My Swell Bracket,Gonzaga,4.0,Gonzaga,True,4.0,72.0
51,My Swell Bracket,Texas Tech,4.0,Texas Tech,True,4.0,72.0
52,My Swell Bracket,Virginia,4.0,Virginia,True,4.0,72.0
53,My Swell Bracket,Tennessee,4.0,Purdue,False,0.0,72.0
54,My Swell Bracket,N. Carolina,4.0,Auburn,False,0.0,72.0
