,Bracket Name,Picks,Round,Winner,Correct?,Points,Total
0,Maddie H.,Virginia,1.0,UMBC,False,0.0,78.0
1,Maddie H.,Kansas St.,1.0,Kansas St.,True,1.0,78.0
2,Maddie H.,Kentucky,1.0,Kentucky,True,1.0,78.0
3,Maddie H.,Buffalo,1.0,Buffalo,True,1.0,78.0
4,Maddie H.,Miami (FL),1.0,Loyola Chicago,False,0.0,78.0
5,Maddie H.,Tennessee,1.0,Tennessee,True,1.0,78.0
6,Maddie H.,Nevada,1.0,Nevada,True,1.0,78.0
7,Maddie H.,Cincinnati,1.0,Cincinnati,True,1.0,78.0
8,Maddie H.,Xavier,1.0,Xavier,True,1.0,78.0
9,Maddie H.,Florida St.,1.0,Florida St.,True,1.0,78.0
10,Maddie H.,Ohio St.,1.0,Ohio St.,True,1.0,78.0
11,Maddie H.,Gonzaga,1.0,Gonzaga,True,1.0,78.0
12,Maddie H.,Houston,1.0,Houston,True,1.0,78.0
13,Maddie H.,Michigan,1.0,Michigan,True,1.0,78.0
14,Maddie H.,Providence,1.0,Texas A&M;,False,0.0,78.0
15,Maddie H.,N. Carolina,1.0,N. Carolina,True,1.0,78.0
16,Maddie H.,Villanova,1.0,Villanova,True,1.0,78.0
17,Maddie H.,Virginia Tech,1.0,Alabama,False,0.0,78.0
18,Maddie H.,West Virginia,1.0,West Virginia,True,1.0,78.0
19,Maddie H.,Wichita St.,1.0,Marshall,False,0.0,78.0
20,Maddie H.,Florida,1.0,Florida,True,1.0,78.0
21,Maddie H.,Texas Tech,1.0,Texas Tech,True,1.0,78.0
22,Maddie H.,Butler,1.0,Butler,True,1.0,78.0
23,Maddie H.,Purdue,1.0,Purdue,True,1.0,78.0
24,Maddie H.,Kansas,1.0,Kansas,True,1.0,78.0
25,Maddie H.,Seton Hall,1.0,Seton Hall,True,1.0,78.0
26,Maddie H.,Clemson,1.0,Clemson,True,1.0,78.0
27,Maddie H.,Auburn,1.0,Auburn,True,1.0,78.0
28,Maddie H.,TCU,1.0,Syracuse,False,0.0,78.0
29,Maddie H.,Michigan St.,1.0,Michigan St.,True,1.0,78.0
30,Maddie H.,Rhode Island,1.0,Rhode Island,True,1.0,78.0
31,Maddie H.,Duke,1.0,Duke,True,1.0,78.0
32,Maddie H.,Virginia,2.0,Kansas St.,False,0.0,78.0
33,Maddie H.,Kentucky,2.0,Kentucky,True,2.0,78.0
34,Maddie H.,Tennessee,2.0,Loyola Chicago,False,0.0,78.0
35,Maddie H.,Cincinnati,2.0,Nevada,False,0.0,78.0
36,Maddie H.,Xavier,2.0,Florida St.,False,0.0,78.0
37,Maddie H.,Gonzaga,2.0,Gonzaga,True,2.0,78.0
38,Maddie H.,Michigan,2.0,Michigan,True,2.0,78.0
39,Maddie H.,N. Carolina,2.0,Texas A&M;,False,0.0,78.0
40,Maddie H.,Villanova,2.0,Villanova,True,2.0,78.0
41,Maddie H.,West Virginia,2.0,West Virginia,True,2.0,78.0
42,Maddie H.,Texas Tech,2.0,Texas Tech,True,2.0,78.0
43,Maddie H.,Purdue,2.0,Purdue,True,2.0,78.0
44,Maddie H.,Kansas,2.0,Kansas,True,2.0,78.0
45,Maddie H.,Clemson,2.0,Clemson,True,2.0,78.0
46,Maddie H.,Michigan St.,2.0,Syracuse,False,0.0,78.0
47,Maddie H.,Duke,2.0,Duke,True,2.0,78.0
48,Maddie H.,Virginia,4.0,Kansas St.,False,0.0,78.0
49,Maddie H.,Cincinnati,4.0,Loyola Chicago,False,0.0,78.0
50,Maddie H.,Xavier,4.0,Florida St.,False,0.0,78.0
51,Maddie H.,Michigan,4.0,Michigan,True,4.0,78.0
52,Maddie H.,Villanova,4.0,Villanova,True,4.0,78.0
53,Maddie H.,Texas Tech,4.0,Texas Tech,True,4.0,78.0
54,Maddie H.,Kansas,4.0,Kansas,True,4.0,78.0
55,Maddie H.,Michigan St.,4.0,Duke,False,0.0,78.0
56,Maddie H.,Cincinnati,8.0,Loyola Chicago,False,0.0,78.0
57,Maddie H.,Michigan,8.0,Michigan,True,8.0,78.0
58,Maddie H.,Villanova,8.0,Villanova,True,8.0,78.0
59,Maddie H.,Michigan St.,8.0,Kansas,False,0.0,78.0
60,Maddie H.,Cincinnati,16.0,0,False,0.0,78.0
61,Maddie H.,Michigan St.,16.0,0,False,0.0,78.0
62,Maddie H.,Cincinnati,32.0,0,False,0.0,78.0
63,Jarielle Lescarnacion,Virginia,1.0,UMBC,False,0.0,59.0
64,Jarielle Lescarnacion,Kansas St.,1.0,Kansas St.,True,1.0,59.0
65,Jarielle Lescarnacion,Kentucky,1.0,Kentucky,True,1.0,59.0
66,Jarielle Lescarnacion,Arizona,1.0,Buffalo,False,0.0,59.0
67,Jarielle Lescarnacion,Loyola Chicago,1.0,Loyola Chicago,True,1.0,59.0
68,Jarielle Lescarnacion,Tennessee,1.0,Tennessee,True,1.0,59.0
69,Jarielle Lescarnacion,Texas,1.0,Nevada,False,0.0,59.0
70,Jarielle Lescarnacion,Cincinnati,1.0,Cincinnati,True,1.0,59.0
71,Jarielle Lescarnacion,Xavier,1.0,Xavier,True,1.0,59.0
72,Jarielle Lescarnacion,Florida St.,1.0,Florida St.,True,1.0,59.0
73,Jarielle Lescarnacion,Ohio St.,1.0,Ohio St.,True,1.0,59.0
74,Jarielle Lescarnacion,Gonzaga,1.0,Gonzaga,True,1.0,59.0
75,Jarielle Lescarnacion,Houston,1.0,Houston,True,1.0,59.0
76,Jarielle Lescarnacion,Michigan,1.0,Michigan,True,1.0,59.0
77,Jarielle Lescarnacion,Providence,1.0,Texas A&M;,False,0.0,59.0
78,Jarielle Lescarnacion,N. Carolina,1.0,N. Carolina,True,1.0,59.0
79,Jarielle Lescarnacion,Villanova,1.0,Villanova,True,1.0,59.0
80,Jarielle Lescarnacion,Alabama,1.0,Alabama,True,1.0,59.0
81,Jarielle Lescarnacion,West Virginia,1.0,West Virginia,True,1.0,59.0
82,Jarielle Lescarnacion,Wichita St.,1.0,Marshall,False,0.0,59.0
83,Jarielle Lescarnacion,Florida,1.0,Florida,True,1.0,59.0
84,Jarielle Lescarnacion,Texas Tech,1.0,Texas Tech,True,1.0,59.0
85,Jarielle Lescarnacion,Butler,1.0,Butler,True,1.0,59.0
86,Jarielle Lescarnacion,Purdue,1.0,Purdue,True,1.0,59.0
87,Jarielle Lescarnacion,Kansas,1.0,Kansas,True,1.0,59.0
88,Jarielle Lescarnacion,N.C. State,1.0,Seton Hall,False,0.0,59.0
89,Jarielle Lescarnacion,Clemson,1.0,Clemson,True,1.0,59.0
90,Jarielle Lescarnacion,Auburn,1.0,Auburn,True,1.0,59.0
91,Jarielle Lescarnacion,Syracuse,1.0,Syracuse,True,1.0,59.0
92,Jarielle Lescarnacion,Michigan St.,1.0,Michigan St.,True,1.0,59.0
93,Jarielle Lescarnacion,Oklahoma,1.0,Rhode Island,False,0.0,59.0
94,Jarielle Lescarnacion,Duke,1.0,Duke,True,1.0,59.0
95,Jarielle Lescarnacion,Virginia,2.0,Kansas St.,False,0.0,59.0
96,Jarielle Lescarnacion,Kentucky,2.0,Kentucky,True,2.0,59.0
97,Jarielle Lescarnacion,Tennessee,2.0,Loyola Chicago,False,0.0,59.0
98,Jarielle Lescarnacion,Cincinnati,2.0,Nevada,False,0.0,59.0
99,Jarielle Lescarnacion,Xavier,2.0,Florida St.,False,0.0,59.0
100,Jarielle Lescarnacion,Gonzaga,2.0,Gonzaga,True,2.0,59.0
101,Jarielle Lescarnacion,Michigan,2.0,Michigan,True,2.0,59.0
102,Jarielle Lescarnacion,N. Carolina,2.0,Texas A&M;,False,0.0,59.0
103,Jarielle Lescarnacion,Villanova,2.0,Villanova,True,2.0,59.0
104,Jarielle Lescarnacion,West Virginia,2.0,West Virginia,True,2.0,59.0
105,Jarielle Lescarnacion,Florida,2.0,Texas Tech,False,0.0,59.0
106,Jarielle Lescarnacion,Purdue,2.0,Purdue,True,2.0,59.0
107,Jarielle Lescarnacion,Kansas,2.0,Kansas,True,2.0,59.0
108,Jarielle Lescarnacion,Clemson,2.0,Clemson,True,2.0,59.0
109,Jarielle Lescarnacion,Michigan St.,2.0,Syracuse,False,0.0,59.0
110,Jarielle Lescarnacion,Duke,2.0,Duke,True,2.0,59.0
111,Jarielle Lescarnacion,Virginia,4.0,Kansas St.,False,0.0,59.0
112,Jarielle Lescarnacion,Cincinnati,4.0,Loyola Chicago,False,0.0,59.0
113,Jarielle Lescarnacion,Gonzaga,4.0,Florida St.,False,0.0,59.0
114,Jarielle Lescarnacion,N. Carolina,4.0,Michigan,False,0.0,59.0
115,Jarielle Lescarnacion,Villanova,4.0,Villanova,True,4.0,59.0
116,Jarielle Lescarnacion,Purdue,4.0,Texas Tech,False,0.0,59.0
117,Jarielle Lescarnacion,Kansas,4.0,Kansas,True,4.0,59.0
118,Jarielle Lescarnacion,Michigan St.,4.0,Duke,False,0.0,59.0
119,Jarielle Lescarnacion,Virginia,8.0,Loyola Chicago,False,0.0,59.0
120,Jarielle Lescarnacion,N. Carolina,8.0,Michigan,False,0.0,59.0
121,Jarielle Lescarnacion,Villanova,8.0,Villanova,True,8.0,59.0
122,Jarielle Lescarnacion,Michigan St.,8.0,Kansas,False,0.0,59.0
123,Jarielle Lescarnacion,Virginia,16.0,0,False,0.0,59.0
124,Jarielle Lescarnacion,Villanova,16.0,0,False,0.0,59.0
125,Jarielle Lescarnacion,Villanova,32.0,0,False,0.0,59.0
126,Josh Biederman's Bracket,Virginia,1.0,UMBC,False,0.0,55.0
127,Josh Biederman's Bracket,Kansas St.,1.0,Kansas St.,True,1.0,55.0
