,Player,Win Frequency,Cash Frequency,EV,1sigma
5,BigDaddy,0.2,0.3,37.0,60.0
13,JHAM,0.2,0.3,37.0,60.0
28,why am i screaming,0.1,0.2,19.0,45.0
2,A to the C 2,0.1,0.2,19.0,45.0
26,marry me tony pt 3,0.1,0.3,29.0,49.0
23,bracket?,0.1,0.1,15.0,45.0
11,GoBabyBlue,0.1,0.4,33.0,48.0
18,KHAM,0.1,0.1,15.0,45.0
17,Jefe9999 1,0.0,0.0,0.0,0.0
27,sgreeny90 1,0.0,0.0,0.0,0.0
25,harry styles luvs bball,0.0,0.3,11.0,17.0
24,hammermom,0.0,0.0,0.0,0.0
22,Stolsbrack,0.0,0.3,10.0,15.0
21,SteelerNixon 1,0.0,0.2,6.0,12.0
20,Reluctant Zags fan,0.0,0.1,3.0,9.0
19,RagsToRiches,0.0,0.0,0.0,0.0
0, Zags not “Zawgs” ,0.0,0.1,7.0,21.0
16,Jay Huff is my Father,0.0,0.0,0.0,0.0
15,Jay Huff is My Dad,0.0,0.0,0.0,0.0
1,16/1,0.0,0.2,10.0,22.0
12,Holden onto Hope,0.0,0.1,7.0,21.0
10,Dr. Mario,0.0,0.1,4.0,12.0
9,Danielkr,0.0,0.0,0.0,0.0
8,Cocodog5192 1,0.0,0.0,0.0,0.0
7,Chaviddan 1,0.0,0.3,11.0,17.0
6,Bryce Hammerton,0.0,0.0,0.0,0.0
4,Ball & Oats,0.0,0.3,10.0,15.0
3,AlonzoMourning.GIF,0.0,0.1,7.0,21.0
14,Jack Salt Is A Large Man,0.0,0.0,0.0,0.0
