,Player,Win Frequency,Cash Frequency,EV,1sigma
13,JHAM,0.5,0.72,90.0,64.0
24,hammermom,0.27,1.0,69.0,53.0
12,Holden onto Hope,0.23,0.41,41.0,62.0
0, Zags not “Zawgs” ,0.0,0.0,0.0,0.0
16,Jay Huff is my Father,0.0,0.0,0.0,0.0
27,sgreeny90 1,0.0,0.23,7.0,13.0
26,marry me tony pt 3,0.0,0.21,6.0,12.0
25,harry styles luvs bball,0.0,0.59,14.0,12.0
23,bracket?,0.0,0.0,0.0,0.0
22,Stolsbrack,0.0,0.22,4.0,8.0
21,SteelerNixon 1,0.0,0.0,0.0,0.0
20,Reluctant Zags fan,0.0,0.0,0.0,0.0
19,RagsToRiches,0.0,0.0,0.0,0.0
18,KHAM,0.0,0.29,20.0,32.0
17,Jefe9999 1,0.0,0.0,0.0,0.0
14,Jack Salt Is A Large Man,0.0,0.28,18.0,29.0
15,Jay Huff is My Dad,0.0,0.0,0.0,0.0
1,16/1,0.0,0.0,0.0,0.0
11,GoBabyBlue,0.0,0.0,0.0,0.0
10,Dr. Mario,0.0,0.0,0.0,0.0
9,Danielkr,0.0,0.0,0.0,0.0
8,Cocodog5192 1,0.0,0.0,0.0,0.0
7,Chaviddan 1,0.0,0.0,0.0,0.0
6,Bryce Hammerton,0.0,0.0,0.0,0.0
5,BigDaddy,0.0,0.0,0.0,0.0
4,Ball & Oats,0.0,0.05,1.0,4.0
3,AlonzoMourning.GIF,0.0,0.0,0.0,0.0
2,A to the C 2,0.0,0.0,0.0,0.0
28,why am i screaming,0.0,0.0,0.0,0.0
